name,rep,seed,mesh,T,phase,cname,p_end,p_max,t_pmax,idle_since,push_frac,withdrawn,tip_retreat_max,n_events,n_unrec,lead_end,cath_slack_max,slack_max,loop,file
car_div,1,1,casew007lefttopcowmr017,601,fight-escaped-far,7:midpath-thrash,0.338,0.338,600,1,0.923,77.367,29.204,3,0,15.461,7.76,6.308,False,D:/neve/.claude/worktrees/rl_improv_18_p2/saved/eve_paper/neurovascular/full/mesh_ben/2026-09-09_213120_rcca_carotid_v3/checkpoints/eval_anatomies_checkpoint1336215/traj_records/20260920_225602\s0001_casew007lefttopcowmr017_pid617_ep2.npz
abl_last,1,2,casew025righttopcowmr016L,601,coiled-stuck,8:mega-coil,0.913,0.921,344,538,0.765,18.463,1.994,1,1,-803.317,18.725,669.935,True,D:/neve/.claude/worktrees/rl_improv_18_p2/saved/eve_paper/neurovascular/full/mesh_ben/2026-09-17_180209_rcca_carotid_v3_noprivactor/checkpoints/eval_anatomies_checkpoint2757954/traj_records/20260920_214821\s0002_casew025righttopcowmr016L_pid288_ep2.npz
abl_last,2,2,casew025righttopcowmr016L,601,doorstep-stall,6:near-buckle-fight,0.905,0.922,518,159,0.681,123.815,4.984,2,1,-126.371,11.163,81.703,True,D:/neve/.claude/worktrees/rl_improv_18_p2/saved/eve_paper/neurovascular/full/mesh_ben/2026-09-17_180209_rcca_carotid_v3_noprivactor/checkpoints/eval_anatomies_checkpoint2757954/traj_records/20260920_220406\s0002_casew025righttopcowmr016L_pid288_ep2.npz
car_div,1,2,casew025righttopcowmr016L,601,fight-escaped-far,7:midpath-thrash,0.842,0.844,582,29,0.774,78.443,12.088,3,0,-113.766,20.029,37.723,False,D:/neve/.claude/worktrees/rl_improv_18_p2/saved/eve_paper/neurovascular/full/mesh_ben/2026-09-09_213120_rcca_carotid_v3/checkpoints/eval_anatomies_checkpoint1336215/traj_records/20260920_225602\s0002_casew025righttopcowmr016L_pid289_ep2.npz
car_early,1,2,casew025righttopcowmr016L,601,coiled-stuck,8:mega-coil,0.53,0.581,94,509,0.812,170.777,14.993,2,1,-428.136,8.398,444.4,True,D:/neve/.claude/worktrees/rl_improv_18_p2/saved/eve_paper/neurovascular/full/mesh_ben/2026-09-09_213120_rcca_carotid_v3/checkpoints/eval_anatomies_checkpoint800346/traj_records/20260920_223638\s0002_casew025righttopcowmr016L_pid288_ep2.npz
car_div,1,3,casem030righttopcowmr016,601,fight-escaped-far,7:midpath-thrash,0.478,0.498,594,8,0.882,127.041,11.102,3,0,-18.451,8.136,0.0,False,D:/neve/.claude/worktrees/rl_improv_18_p2/saved/eve_paper/neurovascular/full/mesh_ben/2026-09-09_213120_rcca_carotid_v3/checkpoints/eval_anatomies_checkpoint1336215/traj_records/20260920_225602\s0003_casem030righttopcowmr016_pid535_ep0.npz
abl_last,1,8,casew013righttopcowmr013L,601,doorstep-stall,6:near-buckle-fight,0.941,0.945,353,76,0.855,318.579,43.841,3,1,49.721,49.586,44.389,False,D:/neve/.claude/worktrees/rl_improv_18_p2/saved/eve_paper/neurovascular/full/mesh_ben/2026-09-17_180209_rcca_carotid_v3_noprivactor/checkpoints/eval_anatomies_checkpoint2757954/traj_records/20260920_214821\s0008_casew013righttopcowmr013L_pid165_ep2.npz
abl_last,2,8,casew013righttopcowmr013L,601,shove-capped,6:near-buckle-fight,0.941,0.942,270,514,0.81,366.361,209.903,1,1,212.358,58.195,32.986,False,D:/neve/.claude/worktrees/rl_improv_18_p2/saved/eve_paper/neurovascular/full/mesh_ben/2026-09-17_180209_rcca_carotid_v3_noprivactor/checkpoints/eval_anatomies_checkpoint2757954/traj_records/20260920_220406\s0008_casew013righttopcowmr013L_pid165_ep2.npz
car_div,1,8,casew013righttopcowmr013L,601,fight-escaped-near,3:light-recovery-success,0.893,0.895,596,15,0.671,38.319,7.062,4,0,-57.784,34.566,54.647,True,D:/neve/.claude/worktrees/rl_improv_18_p2/saved/eve_paper/neurovascular/full/mesh_ben/2026-09-09_213120_rcca_carotid_v3/checkpoints/eval_anatomies_checkpoint1336215/traj_records/20260920_225602\s0008_casew013righttopcowmr013L_pid166_ep2.npz
car_early,1,8,casew013righttopcowmr013L,601,shove-capped,5:shove-fight,0.881,0.942,294,487,0.977,321.078,229.183,2,1,518.038,293.369,38.979,True,D:/neve/.claude/worktrees/rl_improv_18_p2/saved/eve_paper/neurovascular/full/mesh_ben/2026-09-09_213120_rcca_carotid_v3/checkpoints/eval_anatomies_checkpoint800346/traj_records/20260920_223638\s0008_casew013righttopcowmr013L_pid165_ep2.npz
