name,success,cl_lead_final,cl_lead_max,cl_lead_frac50,cl_lead_frac0,cl_lead_frac10,cl_lead_frac20,cl_lead_at50,cl_lead_at90,cl_adv_led10,cl_adv_led20,cl_cath_led_success,coilf_coil,coilf_coil_gw,coilf_coil_cath,coilf_coil_loose,coilf_loop_proxy,coilf_coil_final,coilf_stored_max_mm,coilf_near_target_buckle,coilf_has_cath_slack,coilr_loop_any_gw,coilr_loop_any_cath,coilr_loop_steps,coilr_first_loop_step,coilr_slack_at_first_loop,coilr_cath_slack_at_first_loop,coilr_n_loops_max,coilr_closure_min_gw,coilr_closure_min_cath,coilr_turn_excess_max_deg,coilr_path_closure_mm,coilr_near_target_buckle,coilr_near_target_loop_frac,coilr_slack_max,coilr_cath_slack_max
abl_best,False,-15.906,92.451,0.146,,,,,,,,0.0,0.357,0.286,0.357,0.357,0.357,0.286,108.825,0.357,1.0,0.357,0.357,112.429,98.571,-23.907,77.128,3.286,11.884,13.103,457.628,18.467,146.857,0.484,70.349,105.344
abl_best,True,-28.593,17.614,0.008,,,,,,,,0.069,0.063,0.0,0.063,0.132,0.063,0.0,18.5,0.0,1.0,0.034,0.034,1.828,7.098,17.919,72.857,0.052,16.919,19.511,193.273,18.675,8.868,0.039,12.653,16.141
abl_copeak,False,209.741,270.649,0.605,,,,,,,,0.0,1.0,0.333,1.0,1.0,1.0,0.167,243.507,0.0,1.0,1.0,1.0,259.167,153.833,-13.787,64.648,3.833,0.755,0.242,545.519,16.595,83.5,0.243,128.874,243.507
abl_copeak,True,-18.731,21.154,0.022,,,,,,,,0.049,0.049,0.0,0.049,0.073,0.049,0.0,16.464,0.0,1.0,0.024,0.024,0.683,3.293,12.369,73.912,0.024,18.217,20.433,53.252,18.962,6.732,0.026,9.499,14.264
abl_last,False,-5.453,85.583,0.057,,,,,,,,0.0,0.273,0.182,0.227,0.364,0.318,0.091,117.466,0.136,1.0,0.273,0.182,86.318,58.864,19.754,41.817,2.455,14.428,16.352,614.007,15.703,91.818,0.325,87.395,56.524
abl_last,True,-27.596,11.926,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.042,0.0,0.0,13.307,0.0,1.0,0.028,0.0,0.056,2.069,30.076,0.93,0.028,18.795,21.374,113.927,19.563,5.931,0.025,7.395,12.102
car_1545,False,-53.036,27.541,0.002,,,,,,,,0.0,0.333,0.0,0.333,0.333,0.333,0.0,48.759,0.333,1.0,0.333,0.333,30.0,111.0,18.918,37.389,0.333,9.661,12.643,321.186,14.628,9.333,0.0,31.331,43.697
car_1545,True,-22.107,12.368,0.0,,,,,,,,0.045,0.0,0.0,0.0,0.091,0.023,0.0,16.339,0.0,1.0,0.0,0.0,0.0,-1.0,,,0.0,17.848,20.27,116.069,18.935,8.182,0.0,11.464,14.11
car_best,False,-50.154,25.734,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.2,0.0,0.0,28.38,0.0,1.0,0.0,0.0,0.0,-1.0,,,0.0,9.042,18.332,803.322,12.643,37.2,0.0,28.38,16.808
car_best,True,-10.288,27.074,0.004,,,,,,,,0.213,0.022,0.0,0.022,0.055,0.022,0.0,15.483,0.0,1.0,0.022,0.011,0.038,1.88,49.56,53.088,0.022,17.464,19.866,777.433,18.824,3.142,0.005,10.465,13.215
car_div,False,-48.674,31.285,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.143,0.143,0.0,18.525,0.214,1.0,0.143,0.0,3.321,81.5,46.278,14.834,0.286,15.855,21.376,521.875,16.747,5.393,0.168,16.477,10.146
car_div,True,-32.431,37.03,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.18,0.0,1.0,0.0,0.0,0.0,-1.0,,,0.0,20.837,22.676,688.938,21.479,0.0,,4.151,8.048
car_early,False,-55.184,142.953,0.227,,,,,,,,0.0,0.833,0.75,0.5,0.917,0.917,0.5,357.134,0.333,1.0,0.917,0.5,435.0,68.833,39.387,6.611,13.0,1.751,11.421,1180.502,15.837,25.333,1.0,290.049,233.052
car_early,True,-20.782,36.147,0.048,,,,,,,,0.314,0.0,0.0,0.0,0.029,0.0,0.0,11.737,0.0,1.0,0.0,0.0,0.0,-1.0,,,0.0,19.476,21.709,516.609,19.628,1.314,0.0,8.094,9.243
car_peak,False,70.751,123.775,0.267,,,,,,,,0.0,0.333,0.167,0.333,0.333,0.333,0.167,141.555,0.167,1.0,0.167,0.333,103.667,95.333,-146.399,67.59,2.5,10.057,13.534,267.378,15.237,105.333,0.228,86.966,138.568
car_peak,True,-18.854,19.769,0.0,,,,,,,,0.0,0.023,0.0,0.023,0.045,0.023,0.0,14.661,0.0,1.0,0.023,0.023,0.386,0.852,9.901,46.311,0.023,18.088,20.456,151.618,18.893,1.955,0.0,8.944,12.56
