a,b,seeds,mean_a,mean_b,mean_diff,seeds_a_better,seeds_b_better,sign_p,wilcoxon_p,a_better,b_better
car_best,abl_best,47,0.973,0.926,0.048,6,2,0.2891,0.2109,"[16, 31, 134, 139, 154, 167]","[23, 55]"
car_best,car_peak,47,0.973,0.936,0.037,3,1,0.625,,"[8, 23, 134]",[55]
car_best,car_1545,47,0.973,0.936,0.037,3,1,0.625,,"[55, 93, 134]",[23]
car_best,car_early,47,0.973,0.745,0.229,12,0,0.0005,0.0005,"[2, 8, 23, 34, 37, 47, 55, 118, 134, 148, 154, 161]",[]
car_best,car_div,47,0.973,0.404,0.569,28,0,0.0,0.0,"[1, 2, 3, 8, 10, 21, 23, 34, 39, 43, 47, 48, 55, 69, 70, 81, 91, 93, 108, 115, 134, 139, 140, 148, 154, 161, 162, 167]",[]
car_peak,abl_best,47,0.936,0.926,0.011,5,4,1.0,0.8555,"[16, 31, 139, 154, 167]","[8, 23, 55, 134]"
car_1545,abl_best,47,0.936,0.926,0.011,5,3,0.7266,0.8984,"[16, 31, 139, 154, 167]","[55, 93, 134]"
abl_best,abl_last,47,0.926,0.766,0.16,12,2,0.0129,0.0168,"[2, 8, 23, 47, 55, 93, 124, 134, 139, 154, 161, 167]","[16, 31]"
abl_best,abl_copeak,47,0.926,0.872,0.053,6,4,0.7539,0.332,"[23, 48, 134, 140, 154, 167]","[16, 31, 55, 139]"
car_early,abl_copeak,47,0.745,0.872,-0.128,3,9,0.146,0.146,"[48, 140, 167]","[2, 8, 34, 37, 47, 55, 118, 148, 161]"
