name,success,cath-led-run,coiled-stuck,deep-recovery,doorstep-stall,fight-escaped-far,fight-escaped-near,free-run,light-recovery,shove-capped,stuck-midpath,stuck-proximal
abl_best,False,0,1,1,6,0,0,0,2,4,0,0
abl_best,True,11,0,20,0,0,0,125,18,0,0,0
abl_copeak,False,0,0,0,0,0,0,0,0,6,0,0
abl_copeak,True,0,0,2,0,0,0,30,9,0,0,0
abl_last,False,0,2,0,3,1,0,0,0,4,12,0
abl_last,True,0,0,4,0,0,0,58,10,0,0,0
car_1545,False,0,1,0,1,0,0,0,0,0,1,0
car_1545,True,1,0,4,0,0,0,30,9,0,0,0
car_best,False,0,0,0,5,0,0,0,0,0,0,0
car_best,True,21,0,24,0,0,2,121,15,0,0,0
car_div,False,0,0,2,3,13,1,0,2,0,2,5
car_div,True,0,0,1,0,12,1,0,5,0,0,0
car_early,False,0,5,1,0,0,1,0,0,4,1,0
car_early,True,8,0,2,0,8,3,9,5,0,0,0
car_peak,False,0,0,2,2,0,0,0,0,2,0,0
car_peak,True,3,0,9,0,0,0,63,13,0,0,0
