seed,n,p,clean,rec,min_strong,max_strong,spread_strong,min_weak,cls
1,16,0.9375,0.875,0.0,1.0,1.0,0.0,0.0,strength
2,16,0.75,0.625,0.125,1.0,1.0,0.0,0.0,strength
3,16,0.9375,0.5625,0.375,1.0,1.0,0.0,0.0,strength
8,16,0.6875,0.125,0.4375,0.5,1.0,0.5,0.0,frontier
10,16,0.9375,0.875,0.0625,1.0,1.0,0.0,0.0,strength
16,16,0.875,0.75,0.0625,0.5,1.0,0.5,1.0,frontier
18,16,1.0,0.6875,0.25,1.0,1.0,0.0,1.0,easy
21,16,0.9375,0.4375,0.125,1.0,1.0,0.0,0.0,strength
23,16,0.5,0.0,0.4375,0.0,1.0,1.0,0.0,frontier
31,16,0.75,0.4375,0.125,0.0,1.0,1.0,1.0,frontier
34,16,0.875,0.625,0.25,1.0,1.0,0.0,0.0,strength
37,16,0.9375,0.375,0.5,1.0,1.0,0.0,0.0,strength
39,16,0.9375,0.5625,0.375,1.0,1.0,0.0,0.0,strength
43,16,0.9375,0.9375,0.0,1.0,1.0,0.0,0.0,strength
44,16,1.0,0.625,0.3125,1.0,1.0,0.0,1.0,easy
47,16,0.75,0.625,0.125,1.0,1.0,0.0,0.0,strength
48,16,0.875,0.625,0.1875,1.0,1.0,0.0,0.0,strength
50,16,1.0,0.9375,0.0,1.0,1.0,0.0,1.0,easy
55,16,0.375,0.0625,0.3125,0.0,0.75,0.75,0.0,frontier
63,16,1.0,0.875,0.0625,1.0,1.0,0.0,1.0,easy
69,16,0.9375,0.625,0.3125,1.0,1.0,0.0,0.0,strength
70,16,0.9375,0.9375,0.0,1.0,1.0,0.0,0.0,strength
73,16,1.0,0.6875,0.25,1.0,1.0,0.0,1.0,easy
80,16,1.0,0.75,0.1875,1.0,1.0,0.0,1.0,easy
81,16,0.9375,0.9375,0.0,1.0,1.0,0.0,0.0,strength
89,16,1.0,0.9375,0.0,1.0,1.0,0.0,1.0,easy
91,16,0.9375,0.875,0.0625,1.0,1.0,0.0,0.0,strength
93,16,0.75,0.75,0.0,0.0,1.0,1.0,0.0,frontier
97,16,1.0,0.9375,0.0,1.0,1.0,0.0,1.0,easy
108,16,0.9375,0.9375,0.0,1.0,1.0,0.0,0.0,strength
110,16,1.0,0.6875,0.1875,1.0,1.0,0.0,1.0,easy
115,16,0.9375,0.5625,0.3125,1.0,1.0,0.0,0.0,strength
118,16,0.9375,0.75,0.125,1.0,1.0,0.0,0.0,strength
120,16,1.0,0.875,0.0625,1.0,1.0,0.0,1.0,easy
122,16,1.0,0.8125,0.0625,1.0,1.0,0.0,1.0,easy
124,16,0.9375,0.5625,0.3125,1.0,1.0,0.0,0.5,strength
134,16,0.3125,0.0,0.125,0.0,0.75,0.75,0.0,frontier
138,16,1.0,0.875,0.0625,1.0,1.0,0.0,1.0,easy
139,16,0.8125,0.0625,0.75,0.75,1.0,0.25,0.0,frontier
140,16,0.875,0.875,0.0,1.0,1.0,0.0,0.0,strength
148,16,0.875,0.4375,0.3125,1.0,1.0,0.0,0.0,strength
154,16,0.625,0.375,0.25,0.75,1.0,0.25,0.0,frontier
155,16,1.0,0.8125,0.0625,1.0,1.0,0.0,1.0,easy
161,16,0.75,0.75,0.0,1.0,1.0,0.0,0.0,strength
162,16,0.9375,0.875,0.0,1.0,1.0,0.0,0.0,strength
167,16,0.5625,0.125,0.25,0.25,1.0,0.75,0.0,frontier
171,16,1.0,0.8125,0.125,1.0,1.0,0.0,1.0,easy
