seed,abl_best,abl_copeak,abl_last,car_1545,car_best,car_div,car_early,car_peak,succ_phase,fail_phase,rec_share,cathled_share,medT,mesh,cls,min_strong,spread_strong
18,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,free-run,,0.3125,0.0,51.5,casew013righttopcowmr011,easy,1.0,0.0
44,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,free-run,,0.375,0.0,52.5,casew013righttopcowmr013L,easy,1.0,0.0
50,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,free-run,,0.125,0.3125,26.0,casew007lefttopcowmr021L,easy,1.0,0.0
63,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,free-run,,0.125,0.1875,31.5,casem030righttopcowmr003L,easy,1.0,0.0
73,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,free-run,,0.3125,0.0,65.0,casew013righttopcowmr013L,easy,1.0,0.0
80,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,free-run,,0.25,0.0625,48.0,casew007lefttopcowmr017,easy,1.0,0.0
89,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,free-run,,0.125,0.25,24.0,casew013righttopcowmr011,easy,1.0,0.0
97,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,free-run,,0.125,0.0,45.0,casew007lefttopcowmr013L,easy,1.0,0.0
110,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,free-run,,0.3125,0.0,38.5,casew025righttopcowmr021L,easy,1.0,0.0
120,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,free-run,,0.125,0.25,30.5,casew007lefttopcowmr016L,easy,1.0,0.0
122,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,free-run,,0.1875,0.0625,48.5,casew013righttopcowmr021L,easy,1.0,0.0
138,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,free-run,,0.125,0.25,30.0,casew033lefttopcowmr011L,easy,1.0,0.0
155,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,free-run,,0.1875,0.0625,41.0,casew007lefttopcowmr017,easy,1.0,0.0
171,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,free-run,,0.25,0.125,70.0,casem030righttopcowmr016L,easy,1.0,0.0
23,1.0,0.0,0.0,1.0,0.75,0.0,0.0,0.0,deep-recovery,deep-recovery,1.0,0.0,456.5,casew013righttopcowmr013L,frontier,0.0,1.0
31,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,free-run,doorstep-stall,0.4166666666666667,0.08333333333333333,92.0,casem030righttopcowmr016,frontier,0.0,1.0
