name,seed_cls,cathled,deep-rec,fight,free,light-rec,n_succ
abl_best_host,easy,0.0,0.0,0.0,0.722,0.278,18
abl_best_host,frontier,0.0,0.053,0.0,0.632,0.316,19
abl_best_host,strength,0.0,0.045,0.023,0.795,0.136,44
car_best_host,easy,0.167,0.278,0.296,0.037,0.222,54
car_best_host,frontier,0.02,0.196,0.529,0.059,0.196,51
car_best_host,strength,0.097,0.303,0.248,0.103,0.248,145
tbv2_best_host,easy,0.0,0.407,0.0,0.519,0.074,54
tbv2_best_host,frontier,0.0,0.5,0.031,0.312,0.156,32
tbv2_best_host,strength,0.0,0.466,0.034,0.397,0.103,58
tbv3_ref_host,easy,0.0,0.056,0.0,0.889,0.056,18
tbv3_ref_host,frontier,0.0,0.235,0.0,0.471,0.294,17
tbv3_ref_host,strength,0.0,0.182,0.023,0.614,0.182,44
