seed,name,n,p,p_rec,dom,mesh
900000,car_best_host,1,1.0,0.0,2:cathled-sprint-success,s1020043290g0
900001,abl_best_host,1,1.0,0.0,0:clean-success,s1563758547g0
900001,car_best_host,3,1.0,1.0,3:light-recovery-success,s1563758547g0
900001,tbv2_best_host,3,0.6666666666666666,0.3333333333333333,8:mega-coil,s1563758547g0
900001,tbv3_ref_host,1,1.0,1.0,4:deep-recovery-success,s1563758547g0
900002,abl_best_host,1,1.0,0.0,1:clean-fast-success,s646285556g0
900002,car_best_host,3,1.0,0.0,2:cathled-sprint-success,s646285556g0
900002,tbv2_best_host,3,1.0,0.0,6:near-buckle-fight,s646285556g0
900002,tbv3_ref_host,1,1.0,0.0,1:clean-fast-success,s646285556g0
900003,abl_best_host,1,1.0,0.0,1:clean-fast-success,s362260794g0
900003,car_best_host,3,1.0,0.3333333333333333,5:shove-fight,s362260794g0
900003,tbv2_best_host,3,0.3333333333333333,0.0,5:shove-fight,s362260794g0
900003,tbv3_ref_host,1,1.0,0.0,1:clean-fast-success,s362260794g0
900004,abl_best_host,1,1.0,0.0,5:shove-fight,s1186725438g0
900004,car_best_host,3,1.0,0.0,5:shove-fight,s1186725438g0
900004,tbv2_best_host,3,0.6666666666666666,0.0,1:clean-fast-success,s1186725438g0
900004,tbv3_ref_host,1,1.0,0.0,1:clean-fast-success,s1186725438g0
900005,abl_best_host,1,1.0,0.0,1:clean-fast-success,s56786124g0
900005,car_best_host,3,1.0,0.0,5:shove-fight,s56786124g0
900005,tbv2_best_host,3,1.0,0.0,1:clean-fast-success,s56786124g0
900005,tbv3_ref_host,1,1.0,0.0,1:clean-fast-success,s56786124g0
900006,abl_best_host,1,1.0,0.0,1:clean-fast-success,s2131103049g0
900006,car_best_host,3,1.0,0.0,5:shove-fight,s2131103049g0
900006,tbv2_best_host,3,0.6666666666666666,0.0,6:near-buckle-fight,s2131103049g0
900006,tbv3_ref_host,1,1.0,0.0,1:clean-fast-success,s2131103049g0
900007,abl_best_host,1,1.0,0.0,0:clean-success,s1875621913g0
900007,car_best_host,3,1.0,0.0,5:shove-fight,s1875621913g0
900007,tbv2_best_host,3,0.6666666666666666,0.6666666666666666,4:deep-recovery-success,s1875621913g0
900007,tbv3_ref_host,1,1.0,0.0,1:clean-fast-success,s1875621913g0
900008,car_best_host,1,1.0,0.0,2:cathled-sprint-success,s1135134341g0
900009,abl_best_host,1,1.0,0.0,1:clean-fast-success,s262217262g0
900009,car_best_host,3,0.6666666666666666,0.0,5:shove-fight,s262217262g0
900009,tbv2_best_host,3,0.3333333333333333,0.0,6:near-buckle-fight,s262217262g0
900009,tbv3_ref_host,1,1.0,1.0,3:light-recovery-success,s262217262g0
900010,abl_best_host,1,1.0,1.0,4:deep-recovery-success,s733528875g0
900010,car_best_host,3,1.0,0.6666666666666666,3:light-recovery-success,s733528875g0
900010,tbv2_best_host,3,0.3333333333333333,0.3333333333333333,8:mega-coil,s733528875g0
900010,tbv3_ref_host,1,1.0,1.0,3:light-recovery-success,s733528875g0
900011,car_best_host,1,1.0,1.0,3:light-recovery-success,s72041879g0
900012,abl_best_host,1,1.0,1.0,3:light-recovery-success,s324135477g0
900012,car_best_host,3,0.6666666666666666,0.6666666666666666,3:light-recovery-success,s324135477g0
900012,tbv2_best_host,3,0.6666666666666666,0.0,5:shove-fight,s324135477g0
900012,tbv3_ref_host,1,1.0,0.0,1:clean-fast-success,s324135477g0
900013,abl_best_host,1,1.0,1.0,3:light-recovery-success,s89051603g0
900013,car_best_host,3,1.0,0.3333333333333333,5:shove-fight,s89051603g0
900013,tbv2_best_host,3,1.0,0.6666666666666666,4:deep-recovery-success,s89051603g0
900013,tbv3_ref_host,1,1.0,0.0,1:clean-fast-success,s89051603g0
900014,abl_best_host,1,1.0,0.0,1:clean-fast-success,s1631463350g0
900014,car_best_host,3,1.0,1.0,3:light-recovery-success,s1631463350g0
900014,tbv2_best_host,3,0.3333333333333333,0.0,6:near-buckle-fight,s1631463350g0
900014,tbv3_ref_host,1,1.0,0.0,1:clean-fast-success,s1631463350g0
900015,abl_best_host,1,1.0,1.0,3:light-recovery-success,s1188724579g0
900015,car_best_host,3,1.0,0.3333333333333333,5:shove-fight,s1188724579g0
900015,tbv2_best_host,3,1.0,0.3333333333333333,6:near-buckle-fight,s1188724579g0
