name,rep,seed,mesh,T,phase,cname,p_end,p_max,t_pmax,idle_since,push_frac,withdrawn,tip_retreat_max,n_events,n_unrec,lead_end,cath_slack_max,slack_max,loop,file
proc_on_carotid,1,2,casew025righttopcowmr016L,601,stuck-proximal,10:proximal-thrash,0.264,0.305,70,312,0.111,5.178,7.994,1,1,-55.09,7.996,6.516,False,D:/neve/.claude/worktrees/rl_improv_18_p2/saved/eve_paper/neurovascular/full/mesh_ben/2026-07-22_010917_rcca_procedural_v3c/checkpoints/eval_anatomies_checkpoint252305/traj_records/20260921_071407\s0002_casew025righttopcowmr016L_pid288_ep2.npz
proc_on_carotid,1,3,casem030righttopcowmr016,601,cath-led-run,9:shove-cap,0.567,0.576,95,510,0.145,37.033,20.962,0,0,70.463,5.798,0.0,False,D:/neve/.claude/worktrees/rl_improv_18_p2/saved/eve_paper/neurovascular/full/mesh_ben/2026-07-22_010917_rcca_procedural_v3c/checkpoints/eval_anatomies_checkpoint252305/traj_records/20260921_071407\s0003_casem030righttopcowmr016_pid534_ep0.npz
proc_on_carotid,1,8,casew013righttopcowmr013L,601,stuck-proximal,10:proximal-thrash,0.256,0.283,83,87,0.258,35.429,26.129,1,1,-0.638,7.123,4.451,False,D:/neve/.claude/worktrees/rl_improv_18_p2/saved/eve_paper/neurovascular/full/mesh_ben/2026-07-22_010917_rcca_procedural_v3c/checkpoints/eval_anatomies_checkpoint252305/traj_records/20260921_071407\s0008_casew013righttopcowmr013L_pid165_ep2.npz
proc_on_carotid,1,10,casem030righttopcowmr016,601,cath-led-run,10:proximal-thrash,0.225,0.226,596,561,0.013,7.38,7.05,0,0,29.491,5.526,0.0,False,D:/neve/.claude/worktrees/rl_improv_18_p2/saved/eve_paper/neurovascular/full/mesh_ben/2026-07-22_010917_rcca_procedural_v3c/checkpoints/eval_anatomies_checkpoint252305/traj_records/20260921_071407\s0010_casem030righttopcowmr016_pid452_ep0.npz
proc_on_carotid,1,21,casew025righttopcowmr021L,601,light-recovery,10:proximal-thrash,0.01,0.01,600,601,0.103,3.889,0.0,1,0,2.893,0.312,0.036,False,D:/neve/.claude/worktrees/rl_improv_18_p2/saved/eve_paper/neurovascular/full/mesh_ben/2026-07-22_010917_rcca_procedural_v3c/checkpoints/eval_anatomies_checkpoint252305/traj_records/20260921_071407\s0021_casew025righttopcowmr021L_pid657_ep2.npz
car_best,2,23,casew013righttopcowmr013L,601,doorstep-stall,6:near-buckle-fight,0.899,0.903,395,10,0.982,842.925,12.931,3,1,-44.16,8.342,20.944,False,D:/neve/.claude/worktrees/rl_improv_18_p2/saved/eve_paper/neurovascular/full/mesh_ben/2026-09-09_213120_rcca_carotid_v3/checkpoints/eval_anatomies_checkpoint2289002/traj_records/20260920_201402\s0023_casew013righttopcowmr013L_pid247_ep2.npz
proc_on_carotid,1,23,casew013righttopcowmr013L,601,light-recovery,10:proximal-thrash,0.153,0.181,338,511,0.158,24.969,9.013,1,0,3.027,5.819,0.0,False,D:/neve/.claude/worktrees/rl_improv_18_p2/saved/eve_paper/neurovascular/full/mesh_ben/2026-07-22_010917_rcca_procedural_v3c/checkpoints/eval_anatomies_checkpoint252305/traj_records/20260921_071407\s0023_casew013righttopcowmr013L_pid247_ep2.npz
proc_on_carotid,1,37,casem030righttopcowmr016,601,stuck-midpath,9:shove-cap,0.575,0.586,117,516,0.17,43.684,25.955,1,1,72.698,5.983,0.0,False,D:/neve/.claude/worktrees/rl_improv_18_p2/saved/eve_paper/neurovascular/full/mesh_ben/2026-07-22_010917_rcca_procedural_v3c/checkpoints/eval_anatomies_checkpoint252305/traj_records/20260921_071407\s0037_casem030righttopcowmr016_pid452_ep2.npz
proc_on_carotid,1,39,casew007lefttopcowmr016L,601,cath-led-run,10:proximal-thrash,0.185,0.204,49,553,0.013,5.329,2.781,0,0,0.833,5.428,0.0,False,D:/neve/.claude/worktrees/rl_improv_18_p2/saved/eve_paper/neurovascular/full/mesh_ben/2026-07-22_010917_rcca_procedural_v3c/checkpoints/eval_anatomies_checkpoint252305/traj_records/20260921_071407\s0039_casew007lefttopcowmr016L_pid288_ep1.npz
proc_on_carotid,1,43,casew017righttopcowmr011,601,stuck-proximal,10:proximal-thrash,0.246,0.281,142,177,0.146,17.868,12.968,1,1,-19.779,6.023,0.0,False,D:/neve/.claude/worktrees/rl_improv_18_p2/saved/eve_paper/neurovascular/full/mesh_ben/2026-07-22_010917_rcca_procedural_v3c/checkpoints/eval_anatomies_checkpoint252305/traj_records/20260921_071407\s0043_casew017righttopcowmr011_pid534_ep2.npz
proc_on_carotid,1,47,casew025righttopcowmr016L,601,deep-recovery,5:shove-fight,0.452,0.518,371,232,0.333,77.658,48.939,2,0,39.195,73.365,0.0,True,D:/neve/.claude/worktrees/rl_improv_18_p2/saved/eve_paper/neurovascular/full/mesh_ben/2026-07-22_010917_rcca_procedural_v3c/checkpoints/eval_anatomies_checkpoint252305/traj_records/20260921_071407\s0047_casew025righttopcowmr016L_pid452_ep1.npz
proc_on_carotid,1,48,casew025righttopcowmr021L,601,cath-led-run,10:proximal-thrash,0.151,0.151,600,10,0.02,3.371,2.014,0,0,31.522,4.257,0.0,False,D:/neve/.claude/worktrees/rl_improv_18_p2/saved/eve_paper/neurovascular/full/mesh_ben/2026-07-22_010917_rcca_procedural_v3c/checkpoints/eval_anatomies_checkpoint252305/traj_records/20260921_071407\s0048_casew025righttopcowmr021L_pid616_ep1.npz
car_best,1,55,casem030righttopcowmr003L,601,doorstep-stall,6:near-buckle-fight,0.937,0.939,257,217,0.599,207.18,5.921,2,1,-63.104,20.119,38.775,False,D:/neve/.claude/worktrees/rl_improv_18_p2/saved/eve_paper/neurovascular/full/mesh_ben/2026-09-09_213120_rcca_carotid_v3/checkpoints/eval_anatomies_checkpoint2289002/traj_records/20260920_200452\s0055_casem030righttopcowmr003L_pid206_ep2.npz
car_best,2,55,casem030righttopcowmr003L,601,doorstep-stall,6:near-buckle-fight,0.921,0.937,320,292,0.754,246.173,9.855,4,1,-61.59,7.77,19.341,False,D:/neve/.claude/worktrees/rl_improv_18_p2/saved/eve_paper/neurovascular/full/mesh_ben/2026-09-09_213120_rcca_carotid_v3/checkpoints/eval_anatomies_checkpoint2289002/traj_records/20260920_201402\s0055_casem030righttopcowmr003L_pid206_ep2.npz
car_best,4,55,casem030righttopcowmr003L,601,doorstep-stall,6:near-buckle-fight,0.924,0.939,258,264,0.705,180.339,20.753,3,1,-54.648,32.285,39.876,False,D:/neve/.claude/worktrees/rl_improv_18_p2/saved/eve_paper/neurovascular/full/mesh_ben/2026-09-09_213120_rcca_carotid_v3/checkpoints/eval_anatomies_checkpoint2289002/traj_records/20260920_203011\s0055_casem030righttopcowmr003L_pid206_ep2.npz
proc_on_carotid,1,55,casem030righttopcowmr003L,601,light-recovery,10:proximal-thrash,0.114,0.135,495,5,0.037,5.814,2.014,1,0,25.181,4.157,0.074,False,D:/neve/.claude/worktrees/rl_improv_18_p2/saved/eve_paper/neurovascular/full/mesh_ben/2026-07-22_010917_rcca_procedural_v3c/checkpoints/eval_anatomies_checkpoint252305/traj_records/20260921_071407\s0055_casem030righttopcowmr003L_pid206_ep2.npz
proc_on_carotid,1,69,casew013righttopcowmr021L,601,cath-led-run,10:proximal-thrash,0.179,0.202,73,529,0.078,12.691,10.1,0,0,2.812,5.344,0.0,False,D:/neve/.claude/worktrees/rl_improv_18_p2/saved/eve_paper/neurovascular/full/mesh_ben/2026-07-22_010917_rcca_procedural_v3c/checkpoints/eval_anatomies_checkpoint252305/traj_records/20260921_071407\s0069_casew013righttopcowmr021L_pid657_ep1.npz
proc_on_carotid,1,70,casew007lefttopcowmr017,601,idle-creep,10:proximal-thrash,0.174,0.206,141,462,0.058,14.433,4.029,0,0,7.467,5.036,0.0,False,D:/neve/.claude/worktrees/rl_improv_18_p2/saved/eve_paper/neurovascular/full/mesh_ben/2026-07-22_010917_rcca_procedural_v3c/checkpoints/eval_anatomies_checkpoint252305/traj_records/20260921_071407\s0070_casew007lefttopcowmr017_pid575_ep2.npz
proc_on_carotid,1,73,casew013righttopcowmr013L,601,stuck-midpath,10:proximal-thrash,0.325,0.383,90,516,0.141,5.287,2.002,1,1,15.674,5.677,0.0,False,D:/neve/.claude/worktrees/rl_improv_18_p2/saved/eve_paper/neurovascular/full/mesh_ben/2026-07-22_010917_rcca_procedural_v3c/checkpoints/eval_anatomies_checkpoint252305/traj_records/20260921_071407\s0073_casew013righttopcowmr013L_pid493_ep0.npz
proc_on_carotid,1,81,casew033lefttopcowmr011L,601,cath-led-run,10:proximal-thrash,0.246,0.246,600,229,0.002,1.835,2.013,0,0,4.075,4.418,0.0,False,D:/neve/.claude/worktrees/rl_improv_18_p2/saved/eve_paper/neurovascular/full/mesh_ben/2026-07-22_010917_rcca_procedural_v3c/checkpoints/eval_anatomies_checkpoint252305/traj_records/20260921_071407\s0081_casew033lefttopcowmr011L_pid575_ep1.npz
proc_on_carotid,1,91,casem030righttopcowmr003L,601,stuck-proximal,10:proximal-thrash,0.199,0.223,48,556,0.128,17.577,11.104,1,1,5.993,6.522,0.0,False,D:/neve/.claude/worktrees/rl_improv_18_p2/saved/eve_paper/neurovascular/full/mesh_ben/2026-07-22_010917_rcca_procedural_v3c/checkpoints/eval_anatomies_checkpoint252305/traj_records/20260921_071407\s0091_casem030righttopcowmr003L_pid370_ep1.npz
proc_on_carotid,1,93,casew007lefttopcowmr017,601,cath-led-run,10:proximal-thrash,0.2,0.2,600,336,0.002,1.672,4.109,0,0,1.19,4.929,0.112,False,D:/neve/.claude/worktrees/rl_improv_18_p2/saved/eve_paper/neurovascular/full/mesh_ben/2026-07-22_010917_rcca_procedural_v3c/checkpoints/eval_anatomies_checkpoint252305/traj_records/20260921_071407\s0093_casew007lefttopcowmr017_pid247_ep1.npz
proc_on_carotid,1,115,casew013righttopcowmr021L,601,stuck-proximal,10:proximal-thrash,0.162,0.197,47,18,0.163,30.928,8.985,1,1,1.95,5.312,0.0,False,D:/neve/.claude/worktrees/rl_improv_18_p2/saved/eve_paper/neurovascular/full/mesh_ben/2026-07-22_010917_rcca_procedural_v3c/checkpoints/eval_anatomies_checkpoint252305/traj_records/20260921_071407\s0115_casew013righttopcowmr021L_pid411_ep1.npz
car_best,4,134,casew007lefttopcowmr013L,601,doorstep-stall,6:near-buckle-fight,0.909,0.919,244,199,0.967,690.926,38.821,2,1,-27.265,15.526,22.964,False,D:/neve/.claude/worktrees/rl_improv_18_p2/saved/eve_paper/neurovascular/full/mesh_ben/2026-09-09_213120_rcca_carotid_v3/checkpoints/eval_anatomies_checkpoint2289002/traj_records/20260920_203011\s0134_casew007lefttopcowmr013L_pid165_ep0.npz
proc_on_carotid,1,134,casew007lefttopcowmr013L,601,idle-creep,10:proximal-thrash,0.137,0.17,343,2,0.018,10.158,9.099,0,0,6.666,4.39,0.135,False,D:/neve/.claude/worktrees/rl_improv_18_p2/saved/eve_paper/neurovascular/full/mesh_ben/2026-07-22_010917_rcca_procedural_v3c/checkpoints/eval_anatomies_checkpoint252305/traj_records/20260921_071407\s0134_casew007lefttopcowmr013L_pid165_ep0.npz
proc_on_carotid,1,139,casew013righttopcowmr021L,601,cath-led-run,10:proximal-thrash,0.139,0.139,600,12,0.003,4.504,2.014,0,0,29.277,4.044,0.0,False,D:/neve/.claude/worktrees/rl_improv_18_p2/saved/eve_paper/neurovascular/full/mesh_ben/2026-07-22_010917_rcca_procedural_v3c/checkpoints/eval_anatomies_checkpoint252305/traj_records/20260921_071407\s0139_casew013righttopcowmr021L_pid124_ep0.npz
proc_on_carotid,1,140,casew025righttopcowmr021L,601,stuck-proximal,10:proximal-thrash,0.173,0.213,56,546,0.151,26.838,14.103,1,1,4.251,5.213,0.0,False,D:/neve/.claude/worktrees/rl_improv_18_p2/saved/eve_paper/neurovascular/full/mesh_ben/2026-07-22_010917_rcca_procedural_v3c/checkpoints/eval_anatomies_checkpoint252305/traj_records/20260921_071407\s0140_casew025righttopcowmr021L_pid288_ep0.npz
proc_on_carotid,1,148,casew025righttopcowmr016L,601,cath-led-run,10:proximal-thrash,0.162,0.184,48,555,0.055,6.696,1.014,0,0,6.424,5.109,0.0,False,D:/neve/.claude/worktrees/rl_improv_18_p2/saved/eve_paper/neurovascular/full/mesh_ben/2026-07-22_010917_rcca_procedural_v3c/checkpoints/eval_anatomies_checkpoint252305/traj_records/20260921_071407\s0148_casew025righttopcowmr016L_pid370_ep0.npz
proc_on_carotid,1,154,casew007lefttopcowmr021L,601,cath-led-run,10:proximal-thrash,0.139,0.139,600,6,0.002,3.941,2.014,0,0,29.229,4.005,0.012,False,D:/neve/.claude/worktrees/rl_improv_18_p2/saved/eve_paper/neurovascular/full/mesh_ben/2026-07-22_010917_rcca_procedural_v3c/checkpoints/eval_anatomies_checkpoint252305/traj_records/20260921_071407\s0154_casew007lefttopcowmr021L_pid247_ep0.npz
proc_on_carotid,1,161,casem030righttopcowmr016,601,idle-creep,10:proximal-thrash,0.167,0.185,309,310,0.072,13.174,5.109,0,0,5.063,3.772,2.871,False,D:/neve/.claude/worktrees/rl_improv_18_p2/saved/eve_paper/neurovascular/full/mesh_ben/2026-07-22_010917_rcca_procedural_v3c/checkpoints/eval_anatomies_checkpoint252305/traj_records/20260921_071407\s0161_casem030righttopcowmr016_pid370_ep2.npz
proc_on_carotid,1,162,casem030righttopcowmr013L,601,stuck-midpath,10:proximal-thrash,0.209,0.331,79,530,0.191,29.015,19.999,1,1,6.385,6.281,0.0,False,D:/neve/.claude/worktrees/rl_improv_18_p2/saved/eve_paper/neurovascular/full/mesh_ben/2026-07-22_010917_rcca_procedural_v3c/checkpoints/eval_anatomies_checkpoint252305/traj_records/20260921_071407\s0162_casem030righttopcowmr013L_pid206_ep1.npz
proc_on_carotid,1,167,casem030righttopcowmr013L,601,cath-led-run,10:proximal-thrash,0.163,0.189,49,554,0.028,8.004,2.014,0,0,6.864,5.013,0.0,False,D:/neve/.claude/worktrees/rl_improv_18_p2/saved/eve_paper/neurovascular/full/mesh_ben/2026-07-22_010917_rcca_procedural_v3c/checkpoints/eval_anatomies_checkpoint252305/traj_records/20260921_071407\s0167_casem030righttopcowmr013L_pid575_ep0.npz
