seed,name,n,p,p_rec,dom,mesh
1,car_best,4,1.0,0.0,2:cathled-sprint-success,casew007lefttopcowmr017
1,proc_on_carotid,1,1.0,0.0,2:cathled-sprint-success,casew007lefttopcowmr017
2,car_best,4,1.0,0.0,0:clean-success,casew025righttopcowmr016L
2,proc_on_carotid,1,0.0,0.0,10:proximal-thrash,casew025righttopcowmr016L
3,car_best,4,1.0,0.25,0:clean-success,casem030righttopcowmr016
3,proc_on_carotid,1,0.0,0.0,9:shove-cap,casem030righttopcowmr016
8,car_best,4,1.0,0.75,4:deep-recovery-success,casew013righttopcowmr013L
8,proc_on_carotid,1,0.0,0.0,10:proximal-thrash,casew013righttopcowmr013L
10,car_best,4,1.0,0.0,0:clean-success,casem030righttopcowmr016
10,proc_on_carotid,1,0.0,0.0,10:proximal-thrash,casem030righttopcowmr016
16,car_best,4,1.0,0.0,2:cathled-sprint-success,casem030righttopcowmr016L
16,proc_on_carotid,1,1.0,0.0,2:cathled-sprint-success,casem030righttopcowmr016L
18,car_best,4,1.0,0.5,2:cathled-sprint-success,casew013righttopcowmr011
18,proc_on_carotid,1,1.0,1.0,3:light-recovery-success,casew013righttopcowmr011
21,car_best,4,1.0,0.0,5:shove-fight,casew025righttopcowmr021L
21,proc_on_carotid,1,0.0,0.0,10:proximal-thrash,casew025righttopcowmr021L
23,car_best,4,0.75,0.75,4:deep-recovery-success,casew013righttopcowmr013L
23,proc_on_carotid,1,0.0,0.0,10:proximal-thrash,casew013righttopcowmr013L
31,car_best,4,1.0,0.0,2:cathled-sprint-success,casem030righttopcowmr016
31,proc_on_carotid,1,1.0,0.0,2:cathled-sprint-success,casem030righttopcowmr016
34,car_best,4,1.0,0.25,0:clean-success,casem030righttopcowmr016
34,proc_on_carotid,1,1.0,0.0,2:cathled-sprint-success,casem030righttopcowmr016
37,car_best,4,1.0,0.25,0:clean-success,casem030righttopcowmr016
37,proc_on_carotid,1,0.0,0.0,9:shove-cap,casem030righttopcowmr016
39,car_best,4,1.0,0.5,4:deep-recovery-success,casew007lefttopcowmr016L
39,proc_on_carotid,1,0.0,0.0,10:proximal-thrash,casew007lefttopcowmr016L
43,car_best,4,1.0,0.0,0:clean-success,casew017righttopcowmr011
43,proc_on_carotid,1,0.0,0.0,10:proximal-thrash,casew017righttopcowmr011
44,car_best,4,1.0,0.5,2:cathled-sprint-success,casew013righttopcowmr013L
44,proc_on_carotid,1,1.0,0.0,2:cathled-sprint-success,casew013righttopcowmr013L
47,car_best,4,1.0,0.25,0:clean-success,casew025righttopcowmr016L
47,proc_on_carotid,1,0.0,0.0,5:shove-fight,casew025righttopcowmr016L
48,car_best,4,1.0,0.25,0:clean-success,casew025righttopcowmr021L
48,proc_on_carotid,1,0.0,0.0,10:proximal-thrash,casew025righttopcowmr021L
50,car_best,4,1.0,0.0,2:cathled-sprint-success,casew007lefttopcowmr021L
50,proc_on_carotid,1,1.0,0.0,2:cathled-sprint-success,casew007lefttopcowmr021L
55,car_best,4,0.25,0.25,6:near-buckle-fight,casem030righttopcowmr003L
55,proc_on_carotid,1,0.0,0.0,10:proximal-thrash,casem030righttopcowmr003L
63,car_best,4,1.0,0.0,2:cathled-sprint-success,casem030righttopcowmr003L
63,proc_on_carotid,1,1.0,0.0,2:cathled-sprint-success,casem030righttopcowmr003L
69,car_best,4,1.0,0.0,0:clean-success,casew013righttopcowmr021L
69,proc_on_carotid,1,0.0,0.0,10:proximal-thrash,casew013righttopcowmr021L
70,car_best,4,1.0,0.0,0:clean-success,casew007lefttopcowmr017
70,proc_on_carotid,1,0.0,0.0,10:proximal-thrash,casew007lefttopcowmr017
73,car_best,4,1.0,0.5,3:light-recovery-success,casew013righttopcowmr013L
73,proc_on_carotid,1,0.0,0.0,10:proximal-thrash,casew013righttopcowmr013L
80,car_best,4,1.0,0.0,2:cathled-sprint-success,casew007lefttopcowmr017
80,proc_on_carotid,1,1.0,0.0,2:cathled-sprint-success,casew007lefttopcowmr017
81,car_best,4,1.0,0.0,0:clean-success,casew033lefttopcowmr011L
81,proc_on_carotid,1,0.0,0.0,10:proximal-thrash,casew033lefttopcowmr011L
89,car_best,4,1.0,0.0,2:cathled-sprint-success,casew013righttopcowmr011
89,proc_on_carotid,1,1.0,0.0,2:cathled-sprint-success,casew013righttopcowmr011
91,car_best,4,1.0,0.0,0:clean-success,casem030righttopcowmr003L
91,proc_on_carotid,1,0.0,0.0,10:proximal-thrash,casem030righttopcowmr003L
93,car_best,4,1.0,0.0,0:clean-success,casew007lefttopcowmr017
93,proc_on_carotid,1,0.0,0.0,10:proximal-thrash,casew007lefttopcowmr017
97,car_best,4,1.0,0.0,1:clean-fast-success,casew007lefttopcowmr013L
97,proc_on_carotid,1,1.0,0.0,2:cathled-sprint-success,casew007lefttopcowmr013L
108,car_best,4,1.0,0.0,2:cathled-sprint-success,casew007lefttopcowmr017
108,proc_on_carotid,1,1.0,0.0,2:cathled-sprint-success,casew007lefttopcowmr017
110,car_best,4,1.0,0.0,2:cathled-sprint-success,casew025righttopcowmr021L
110,proc_on_carotid,1,1.0,0.0,2:cathled-sprint-success,casew025righttopcowmr021L
115,car_best,4,1.0,0.25,0:clean-success,casew013righttopcowmr021L
115,proc_on_carotid,1,0.0,0.0,10:proximal-thrash,casew013righttopcowmr021L
118,car_best,4,1.0,0.0,0:clean-success,casem030righttopcowmr003L
118,proc_on_carotid,1,1.0,0.0,2:cathled-sprint-success,casem030righttopcowmr003L
120,car_best,4,1.0,0.0,2:cathled-sprint-success,casew007lefttopcowmr016L
120,proc_on_carotid,1,1.0,0.0,2:cathled-sprint-success,casew007lefttopcowmr016L
