seed,n,p,clean,rec,min_strong,max_strong,spread_strong,min_weak,cls
1,5,1.0,1.0,0.0,1.0,1.0,0.0,1.0,easy
2,5,0.8,0.8,0.0,1.0,1.0,0.0,0.0,strength
3,5,0.8,0.6,0.2,1.0,1.0,0.0,0.0,strength
8,5,0.8,0.0,0.6,1.0,1.0,0.0,0.0,strength
10,5,0.8,0.8,0.0,1.0,1.0,0.0,0.0,strength
16,5,1.0,1.0,0.0,1.0,1.0,0.0,1.0,easy
18,5,1.0,0.4,0.6,1.0,1.0,0.0,1.0,easy
21,5,0.8,0.2,0.0,1.0,1.0,0.0,0.0,strength
23,5,0.6,0.0,0.6,0.75,0.75,0.0,0.0,frontier
31,5,1.0,1.0,0.0,1.0,1.0,0.0,1.0,easy
34,5,1.0,0.8,0.2,1.0,1.0,0.0,1.0,easy
37,5,0.8,0.6,0.2,1.0,1.0,0.0,0.0,strength
39,5,0.8,0.4,0.4,1.0,1.0,0.0,0.0,strength
43,5,0.8,0.8,0.0,1.0,1.0,0.0,0.0,strength
44,5,1.0,0.6,0.4,1.0,1.0,0.0,1.0,easy
47,5,0.8,0.6,0.2,1.0,1.0,0.0,0.0,strength
48,5,0.8,0.6,0.2,1.0,1.0,0.0,0.0,strength
50,5,1.0,1.0,0.0,1.0,1.0,0.0,1.0,easy
55,5,0.2,0.0,0.2,0.25,0.25,0.0,0.0,frontier
63,5,1.0,1.0,0.0,1.0,1.0,0.0,1.0,easy
69,5,0.8,0.8,0.0,1.0,1.0,0.0,0.0,strength
70,5,0.8,0.8,0.0,1.0,1.0,0.0,0.0,strength
73,5,0.8,0.4,0.4,1.0,1.0,0.0,0.0,strength
80,5,1.0,1.0,0.0,1.0,1.0,0.0,1.0,easy
81,5,0.8,0.8,0.0,1.0,1.0,0.0,0.0,strength
89,5,1.0,1.0,0.0,1.0,1.0,0.0,1.0,easy
91,5,0.8,0.8,0.0,1.0,1.0,0.0,0.0,strength
93,5,0.8,0.8,0.0,1.0,1.0,0.0,0.0,strength
97,5,1.0,1.0,0.0,1.0,1.0,0.0,1.0,easy
108,5,1.0,1.0,0.0,1.0,1.0,0.0,1.0,easy
110,5,1.0,1.0,0.0,1.0,1.0,0.0,1.0,easy
115,5,0.8,0.4,0.2,1.0,1.0,0.0,0.0,strength
118,5,1.0,1.0,0.0,1.0,1.0,0.0,1.0,easy
120,5,1.0,1.0,0.0,1.0,1.0,0.0,1.0,easy
122,5,1.0,0.8,0.0,1.0,1.0,0.0,1.0,easy
124,5,1.0,0.8,0.2,1.0,1.0,0.0,1.0,easy
134,5,0.6,0.0,0.4,0.75,0.75,0.0,0.0,frontier
138,5,1.0,1.0,0.0,1.0,1.0,0.0,1.0,easy
139,5,0.8,0.0,0.8,1.0,1.0,0.0,0.0,strength
140,5,0.8,0.8,0.0,1.0,1.0,0.0,0.0,strength
148,5,0.8,0.4,0.4,1.0,1.0,0.0,0.0,strength
154,5,0.8,0.6,0.2,1.0,1.0,0.0,0.0,strength
155,5,1.0,1.0,0.0,1.0,1.0,0.0,1.0,easy
161,5,0.8,0.8,0.0,1.0,1.0,0.0,0.0,strength
162,5,0.8,0.8,0.0,1.0,1.0,0.0,0.0,strength
167,5,0.8,0.2,0.6,1.0,1.0,0.0,0.0,strength
171,5,1.0,0.8,0.2,1.0,1.0,0.0,1.0,easy
