seed,car_best,proc_on_carotid,succ_phase,fail_phase,rec_share,cathled_share,medT,mesh,cls,min_strong,spread_strong
1,1.0,1.0,free-run,,0.0,0.4,52.0,casew007lefttopcowmr017,easy,1.0,0.0
16,1.0,1.0,cath-led-run,,0.0,0.6,32.0,casem030righttopcowmr016L,easy,1.0,0.0
18,1.0,1.0,free-run,,0.6,0.0,72.0,casew013righttopcowmr011,easy,1.0,0.0
31,1.0,1.0,free-run,,0.0,0.4,34.0,casem030righttopcowmr016,easy,1.0,0.0
34,1.0,1.0,free-run,,0.2,0.2,83.0,casem030righttopcowmr016,easy,1.0,0.0
44,1.0,1.0,free-run,,0.4,0.2,81.0,casew013righttopcowmr013L,easy,1.0,0.0
50,1.0,1.0,free-run,,0.0,0.4,23.0,casew007lefttopcowmr021L,easy,1.0,0.0
63,1.0,1.0,cath-led-run,,0.0,0.8,27.0,casem030righttopcowmr003L,easy,1.0,0.0
80,1.0,1.0,free-run,,0.0,0.4,35.0,casew007lefttopcowmr017,easy,1.0,0.0
89,1.0,1.0,cath-led-run,,0.0,0.8,21.0,casew013righttopcowmr011,easy,1.0,0.0
97,1.0,1.0,free-run,,0.0,0.2,45.0,casew007lefttopcowmr013L,easy,1.0,0.0
108,1.0,1.0,free-run,,0.2,0.0,49.0,casew007lefttopcowmr017,easy,1.0,0.0
110,1.0,1.0,free-run,,0.0,0.2,35.0,casew025righttopcowmr021L,easy,1.0,0.0
118,1.0,1.0,free-run,,0.0,0.2,71.0,casem030righttopcowmr003L,easy,1.0,0.0
120,1.0,1.0,cath-led-run,,0.0,0.8,26.0,casew007lefttopcowmr016L,easy,1.0,0.0
122,1.0,1.0,free-run,,0.2,0.4,48.0,casew013righttopcowmr021L,easy,1.0,0.0
124,1.0,1.0,free-run,,0.2,0.4,75.0,casem030righttopcowmr016,easy,1.0,0.0
138,1.0,1.0,free-run,,0.0,0.4,26.0,casew033lefttopcowmr011L,easy,1.0,0.0
155,1.0,1.0,free-run,,0.0,0.4,37.0,casew007lefttopcowmr017,easy,1.0,0.0
171,1.0,1.0,free-run,,0.2,0.2,81.0,casem030righttopcowmr016L,easy,1.0,0.0
55,0.25,0.0,fight-escaped-near,doorstep-stall,1.0,0.0,601.0,casem030righttopcowmr003L,frontier,0.25,0.0
23,0.75,0.0,deep-recovery,doorstep-stall,1.0,0.0,271.0,casew013righttopcowmr013L,frontier,0.75,0.0
134,0.75,0.0,deep-recovery,doorstep-stall,1.0,0.0,235.0,casew007lefttopcowmr013L,frontier,0.75,0.0
2,1.0,0.0,free-run,stuck-proximal,0.0,0.0,113.0,casew025righttopcowmr016L,strength,1.0,0.0
3,1.0,0.0,free-run,cath-led-run,0.25,0.0,63.0,casem030righttopcowmr016,strength,1.0,0.0
8,1.0,0.0,deep-recovery,stuck-proximal,1.0,0.0,239.0,casew013righttopcowmr013L,strength,1.0,0.0
10,1.0,0.0,free-run,cath-led-run,0.0,0.0,69.0,casem030righttopcowmr016,strength,1.0,0.0
21,1.0,0.0,deep-recovery,light-recovery,0.75,0.0,345.0,casew025righttopcowmr021L,strength,1.0,0.0
37,1.0,0.0,free-run,stuck-midpath,0.25,0.25,65.0,casem030righttopcowmr016,strength,1.0,0.0
39,1.0,0.0,light-recovery,cath-led-run,0.5,0.0,109.0,casew007lefttopcowmr016L,strength,1.0,0.0
43,1.0,0.0,free-run,stuck-proximal,0.0,0.0,71.0,casew017righttopcowmr011,strength,1.0,0.0
47,1.0,0.0,free-run,deep-recovery,0.25,0.0,114.0,casew025righttopcowmr016L,strength,1.0,0.0
48,1.0,0.0,free-run,cath-led-run,0.25,0.0,76.0,casew025righttopcowmr021L,strength,1.0,0.0
69,1.0,0.0,free-run,cath-led-run,0.0,0.0,70.0,casew013righttopcowmr021L,strength,1.0,0.0
70,1.0,0.0,free-run,idle-creep,0.0,0.0,68.0,casew007lefttopcowmr017,strength,1.0,0.0
73,1.0,0.0,free-run,stuck-midpath,0.5,0.0,147.0,casew013righttopcowmr013L,strength,1.0,0.0
81,1.0,0.0,free-run,cath-led-run,0.0,0.0,67.0,casew033lefttopcowmr011L,strength,1.0,0.0
91,1.0,0.0,free-run,stuck-proximal,0.0,0.0,77.0,casem030righttopcowmr003L,strength,1.0,0.0
93,1.0,0.0,free-run,cath-led-run,0.0,0.0,88.0,casew007lefttopcowmr017,strength,1.0,0.0
115,1.0,0.0,deep-recovery,stuck-proximal,0.5,0.0,152.0,casew013righttopcowmr021L,strength,1.0,0.0
139,1.0,0.0,deep-recovery,cath-led-run,0.75,0.0,170.0,casew013righttopcowmr021L,strength,1.0,0.0
140,1.0,0.0,free-run,stuck-proximal,0.0,0.0,72.0,casew025righttopcowmr021L,strength,1.0,0.0
148,1.0,0.0,free-run,cath-led-run,0.5,0.0,118.0,casew025righttopcowmr016L,strength,1.0,0.0
154,1.0,0.0,free-run,cath-led-run,0.25,0.0,106.0,casew007lefttopcowmr021L,strength,1.0,0.0
161,1.0,0.0,free-run,idle-creep,0.0,0.0,78.0,casem030righttopcowmr016,strength,1.0,0.0
162,1.0,0.0,free-run,stuck-midpath,0.0,0.25,75.0,casem030righttopcowmr013L,strength,1.0,0.0
167,1.0,0.0,deep-recovery,cath-led-run,0.75,0.0,111.0,casem030righttopcowmr013L,strength,1.0,0.0
