name,rep,seed,mesh,T,phase,cname,p_end,p_max,t_pmax,idle_since,push_frac,withdrawn,tip_retreat_max,n_events,n_unrec,lead_end,cath_slack_max,slack_max,loop,file
proc_on_host,1,900001,s1563758547g0,601,cath-led-run,10:proximal-thrash,0.152,0.177,260,2,0.018,9.273,3.024,0,0,18.729,6.177,0.0,False,D:/neve/.claude/worktrees/rl_improv_18_p2/saved/eve_paper/neurovascular/full/mesh_ben/2026-07-22_010917_rcca_procedural_v3c/checkpoints/eval_anatomies_checkpoint252305/traj_records/20260921_073132\s900001_s1563758547g0_pid72_ep5.npz
proc_on_host,1,900005,s56786124g0,601,stuck-midpath,9:shove-cap,0.314,0.67,34,526,0.434,111.681,68.146,1,1,37.238,8.311,0.0,False,D:/neve/.claude/worktrees/rl_improv_18_p2/saved/eve_paper/neurovascular/full/mesh_ben/2026-07-22_010917_rcca_procedural_v3c/checkpoints/eval_anatomies_checkpoint252305/traj_records/20260921_073132\s900005_s56786124g0_pid72_ep1.npz
proc_on_host,1,900007,s1875621913g0,601,stuck-midpath,9:shove-cap,0.462,0.619,40,403,0.884,200.093,64.151,1,1,65.768,17.564,0.0,False,D:/neve/.claude/worktrees/rl_improv_18_p2/saved/eve_paper/neurovascular/full/mesh_ben/2026-07-22_010917_rcca_procedural_v3c/checkpoints/eval_anatomies_checkpoint252305/traj_records/20260921_073132\s900007_s1875621913g0_pid124_ep6.npz
car_best_host,3,900009,s262217262g0,601,doorstep-stall,5:shove-fight,0.87,0.918,276,2,0.982,911.69,64.737,5,1,-37.162,8.494,1.118,False,D:/neve/.claude/worktrees/rl_improv_18_p2/saved/eve_paper/neurovascular/full/mesh_ben/2026-09-09_213120_rcca_carotid_v3/checkpoints/eval_anatomies_checkpoint2289002/traj_records/20260920_233257\s900009_s262217262g0_pid123_ep4.npz
proc_on_host,1,900009,s262217262g0,601,stuck-midpath,9:shove-cap,0.292,0.552,45,471,0.499,162.539,69.004,1,1,36.415,7.676,0.0,False,D:/neve/.claude/worktrees/rl_improv_18_p2/saved/eve_paper/neurovascular/full/mesh_ben/2026-07-22_010917_rcca_procedural_v3c/checkpoints/eval_anatomies_checkpoint252305/traj_records/20260921_073132\s900009_s262217262g0_pid124_ep4.npz
car_best_host,2,900012,s324135477g0,601,stuck-midpath,5:shove-fight,0.83,0.899,192,10,0.968,871.955,58.873,4,1,-11.292,9.527,0.938,False,D:/neve/.claude/worktrees/rl_improv_18_p2/saved/eve_paper/neurovascular/full/mesh_ben/2026-09-09_213120_rcca_carotid_v3/checkpoints/eval_anatomies_checkpoint2289002/traj_records/20260921_000417\s900012_s324135477g0_pid123_ep2.npz
proc_on_host,1,900012,s324135477g0,601,stuck-midpath,9:shove-cap,0.356,0.581,61,488,0.444,147.944,71.085,1,1,58.641,7.9,0.0,False,D:/neve/.claude/worktrees/rl_improv_18_p2/saved/eve_paper/neurovascular/full/mesh_ben/2026-07-22_010917_rcca_procedural_v3c/checkpoints/eval_anatomies_checkpoint252305/traj_records/20260921_073132\s900012_s324135477g0_pid124_ep1.npz
proc_on_host,1,900013,s89051603g0,601,stuck-midpath,9:shove-cap,0.602,0.634,41,335,0.717,238.49,24.007,1,1,30.078,9.04,0.0,False,D:/neve/.claude/worktrees/rl_improv_18_p2/saved/eve_paper/neurovascular/full/mesh_ben/2026-07-22_010917_rcca_procedural_v3c/checkpoints/eval_anatomies_checkpoint252305/traj_records/20260921_073132\s900013_s89051603g0_pid124_ep0.npz
proc_on_host,1,900014,s1631463350g0,601,stuck-midpath,9:shove-cap,0.631,0.64,40,151,0.872,250.655,25.01,1,1,41.326,8.056,0.0,False,D:/neve/.claude/worktrees/rl_improv_18_p2/saved/eve_paper/neurovascular/full/mesh_ben/2026-07-22_010917_rcca_procedural_v3c/checkpoints/eval_anatomies_checkpoint252305/traj_records/20260921_073132\s900014_s1631463350g0_pid165_ep5.npz
proc_on_host,1,900015,s1188724579g0,601,stuck-midpath,5:shove-fight,0.677,0.679,423,193,0.82,211.416,28.994,2,1,44.23,8.412,0.0,False,D:/neve/.claude/worktrees/rl_improv_18_p2/saved/eve_paper/neurovascular/full/mesh_ben/2026-07-22_010917_rcca_procedural_v3c/checkpoints/eval_anatomies_checkpoint252305/traj_records/20260921_073132\s900015_s1188724579g0_pid165_ep4.npz
