seed,name,n,p,p_rec,dom,mesh
900000,car_best_host,1,1.0,0.0,2:cathled-sprint-success,s1020043290g0
900000,proc_on_host,1,1.0,0.0,5:shove-fight,s1020043290g0
900001,car_best_host,3,1.0,1.0,3:light-recovery-success,s1563758547g0
900001,proc_on_host,1,0.0,0.0,10:proximal-thrash,s1563758547g0
900002,car_best_host,3,1.0,0.0,2:cathled-sprint-success,s646285556g0
900002,proc_on_host,1,1.0,0.0,2:cathled-sprint-success,s646285556g0
900003,car_best_host,3,1.0,0.3333333333333333,5:shove-fight,s362260794g0
900003,proc_on_host,1,1.0,1.0,3:light-recovery-success,s362260794g0
900004,car_best_host,3,1.0,0.0,5:shove-fight,s1186725438g0
900004,proc_on_host,1,1.0,0.0,5:shove-fight,s1186725438g0
900005,car_best_host,3,1.0,0.0,5:shove-fight,s56786124g0
900005,proc_on_host,1,0.0,0.0,9:shove-cap,s56786124g0
900006,car_best_host,3,1.0,0.0,5:shove-fight,s2131103049g0
900006,proc_on_host,1,1.0,1.0,3:light-recovery-success,s2131103049g0
900007,car_best_host,3,1.0,0.0,5:shove-fight,s1875621913g0
900007,proc_on_host,1,0.0,0.0,9:shove-cap,s1875621913g0
900008,car_best_host,1,1.0,0.0,2:cathled-sprint-success,s1135134341g0
900008,proc_on_host,1,1.0,0.0,2:cathled-sprint-success,s1135134341g0
900009,car_best_host,3,0.6666666666666666,0.0,5:shove-fight,s262217262g0
900009,proc_on_host,1,0.0,0.0,9:shove-cap,s262217262g0
900010,car_best_host,3,1.0,0.6666666666666666,3:light-recovery-success,s733528875g0
900010,proc_on_host,1,1.0,0.0,5:shove-fight,s733528875g0
900011,car_best_host,1,1.0,1.0,3:light-recovery-success,s72041879g0
900011,proc_on_host,1,1.0,0.0,2:cathled-sprint-success,s72041879g0
900012,car_best_host,3,0.6666666666666666,0.6666666666666666,3:light-recovery-success,s324135477g0
900012,proc_on_host,1,0.0,0.0,9:shove-cap,s324135477g0
