seed,n,p,clean,rec,min_strong,max_strong,spread_strong,min_weak,cls
900000,2,1.0,0.5,0.0,1.0,1.0,0.0,1.0,easy
900001,4,0.75,0.0,0.75,1.0,1.0,0.0,0.0,strength
900002,4,1.0,1.0,0.0,1.0,1.0,0.0,1.0,easy
900003,4,1.0,0.0,0.5,1.0,1.0,0.0,1.0,easy
900004,4,1.0,0.25,0.0,1.0,1.0,0.0,1.0,easy
900005,4,0.75,0.0,0.0,1.0,1.0,0.0,0.0,strength
900006,4,1.0,0.0,0.25,1.0,1.0,0.0,1.0,easy
900007,4,0.75,0.25,0.0,1.0,1.0,0.0,0.0,strength
900008,2,1.0,1.0,0.0,1.0,1.0,0.0,1.0,easy
900009,4,0.5,0.25,0.0,0.6666666666666666,0.6666666666666666,0.0,0.0,frontier
900010,4,1.0,0.0,0.5,1.0,1.0,0.0,1.0,easy
900011,2,1.0,0.5,0.5,1.0,1.0,0.0,1.0,easy
900012,4,0.5,0.0,0.5,0.6666666666666666,0.6666666666666666,0.0,0.0,frontier
900013,4,0.75,0.0,0.25,1.0,1.0,0.0,0.0,strength
900014,4,0.75,0.0,0.75,1.0,1.0,0.0,0.0,strength
900015,4,0.75,0.0,0.25,1.0,1.0,0.0,0.0,strength
900016,4,1.0,0.25,0.75,1.0,1.0,0.0,1.0,easy
900017,4,1.0,0.25,0.0,1.0,1.0,0.0,1.0,easy
900018,4,1.0,0.25,0.0,1.0,1.0,0.0,1.0,easy
900019,4,0.75,0.0,0.5,1.0,1.0,0.0,0.0,strength
900020,4,0.75,0.0,0.25,1.0,1.0,0.0,0.0,strength
900021,4,0.75,0.25,0.5,1.0,1.0,0.0,0.0,strength
900022,4,1.0,0.25,0.0,1.0,1.0,0.0,1.0,easy
900023,4,1.0,0.0,0.75,1.0,1.0,0.0,1.0,easy
900024,4,0.75,0.0,0.75,1.0,1.0,0.0,0.0,strength
900025,4,1.0,0.25,0.0,1.0,1.0,0.0,1.0,easy
900026,2,1.0,1.0,0.0,1.0,1.0,0.0,1.0,easy
900027,4,0.75,0.25,0.25,1.0,1.0,0.0,0.0,strength
900028,4,0.75,0.25,0.5,1.0,1.0,0.0,0.0,strength
900029,4,0.75,0.0,0.5,1.0,1.0,0.0,0.0,strength
900030,4,0.75,0.0,0.25,1.0,1.0,0.0,0.0,strength
900031,4,0.75,0.0,0.25,1.0,1.0,0.0,0.0,strength
900032,2,1.0,1.0,0.0,1.0,1.0,0.0,1.0,easy
900033,4,0.75,0.0,0.5,1.0,1.0,0.0,0.0,strength
900034,4,1.0,0.25,0.0,1.0,1.0,0.0,1.0,easy
900035,4,0.5,0.0,0.0,0.6666666666666666,0.6666666666666666,0.0,0.0,frontier
900036,4,1.0,0.5,0.0,1.0,1.0,0.0,1.0,easy
900037,4,0.75,0.0,0.5,1.0,1.0,0.0,0.0,strength
900038,4,1.0,0.0,0.0,1.0,1.0,0.0,1.0,easy
900039,4,0.5,0.25,0.25,0.6666666666666666,0.6666666666666666,0.0,0.0,frontier
900040,2,1.0,1.0,0.0,1.0,1.0,0.0,1.0,easy
900041,4,1.0,0.75,0.25,1.0,1.0,0.0,1.0,easy
900042,4,0.75,0.0,0.5,1.0,1.0,0.0,0.0,strength
900043,4,1.0,0.0,0.25,1.0,1.0,0.0,1.0,easy
900044,4,1.0,0.0,0.25,1.0,1.0,0.0,1.0,easy
900045,4,0.75,0.0,0.0,1.0,1.0,0.0,0.0,strength
900046,4,1.0,0.5,0.0,1.0,1.0,0.0,1.0,easy
900047,4,0.75,0.0,0.75,1.0,1.0,0.0,0.0,strength
900048,4,0.5,0.0,0.25,0.6666666666666666,0.6666666666666666,0.0,0.0,frontier
900049,4,1.0,0.0,0.0,1.0,1.0,0.0,1.0,easy
900050,4,0.75,0.0,0.5,1.0,1.0,0.0,0.0,strength
900051,4,0.75,0.0,0.25,1.0,1.0,0.0,0.0,strength
900052,2,1.0,0.5,0.0,1.0,1.0,0.0,1.0,easy
900053,4,0.5,0.0,0.25,0.6666666666666666,0.6666666666666666,0.0,0.0,frontier
900054,4,1.0,0.0,0.0,1.0,1.0,0.0,1.0,easy
900055,4,1.0,0.0,0.5,1.0,1.0,0.0,1.0,easy
900056,4,1.0,0.5,0.0,1.0,1.0,0.0,1.0,easy
900057,4,1.0,0.0,0.5,1.0,1.0,0.0,1.0,easy
900058,4,1.0,1.0,0.0,1.0,1.0,0.0,1.0,easy
900059,4,1.0,0.75,0.0,1.0,1.0,0.0,1.0,easy
900060,4,1.0,1.0,0.0,1.0,1.0,0.0,1.0,easy
900061,4,0.75,0.0,0.0,0.6666666666666666,0.6666666666666666,0.0,1.0,frontier
900062,4,0.75,0.0,0.25,1.0,1.0,0.0,0.0,strength
900063,4,0.75,0.0,0.25,1.0,1.0,0.0,0.0,strength
900064,4,1.0,0.5,0.25,1.0,1.0,0.0,1.0,easy
900065,4,0.75,0.0,0.25,1.0,1.0,0.0,0.0,strength
900066,2,1.0,1.0,0.0,1.0,1.0,0.0,1.0,easy
900067,2,1.0,1.0,0.0,1.0,1.0,0.0,1.0,easy
900068,4,0.5,0.25,0.0,0.6666666666666666,0.6666666666666666,0.0,0.0,frontier
900069,4,0.25,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,frontier
900070,4,1.0,0.0,0.75,1.0,1.0,0.0,1.0,easy
900071,4,0.75,0.0,0.5,1.0,1.0,0.0,0.0,strength
900072,4,0.75,0.0,0.75,1.0,1.0,0.0,0.0,strength
900073,4,1.0,0.5,0.25,1.0,1.0,0.0,1.0,easy
900074,4,0.5,0.0,0.25,0.6666666666666666,0.6666666666666666,0.0,0.0,frontier
900075,2,1.0,0.5,0.0,1.0,1.0,0.0,1.0,easy
900076,4,0.5,0.0,0.25,0.6666666666666666,0.6666666666666666,0.0,0.0,frontier
900077,4,0.25,0.0,0.25,0.3333333333333333,0.3333333333333333,0.0,0.0,frontier
900078,4,1.0,0.0,0.25,1.0,1.0,0.0,1.0,easy
900079,4,0.75,0.0,0.5,1.0,1.0,0.0,0.0,strength
900080,4,0.75,0.0,0.75,1.0,1.0,0.0,0.0,strength
900081,2,1.0,1.0,0.0,1.0,1.0,0.0,1.0,easy
900082,4,0.75,0.25,0.0,1.0,1.0,0.0,0.0,strength
900083,4,0.75,0.0,0.5,1.0,1.0,0.0,0.0,strength
900084,2,1.0,1.0,0.0,1.0,1.0,0.0,1.0,easy
900085,4,0.75,0.0,0.75,1.0,1.0,0.0,0.0,strength
900086,4,0.75,0.0,0.5,1.0,1.0,0.0,0.0,strength
900087,4,0.75,0.0,0.5,1.0,1.0,0.0,0.0,strength
900088,4,1.0,0.25,0.5,1.0,1.0,0.0,1.0,easy
900089,4,0.5,0.0,0.25,0.6666666666666666,0.6666666666666666,0.0,0.0,frontier
900090,4,0.25,0.0,0.25,0.3333333333333333,0.3333333333333333,0.0,0.0,frontier
