seed,car_best_host,proc_on_host,succ_phase,fail_phase,rec_share,cathled_share,medT,mesh,cls,min_strong,spread_strong
900000,1.0,1.0,free-run,,0.5,0.0,81.0,s1020043290g0,easy,1.0,0.0
900002,1.0,1.0,cath-led-run,,0.0,1.0,37.0,s646285556g0,easy,1.0,0.0
900003,1.0,1.0,deep-recovery,,1.0,0.0,274.0,s362260794g0,easy,1.0,0.0
900004,1.0,1.0,light-recovery,,0.75,0.0,197.0,s1186725438g0,easy,1.0,0.0
900006,1.0,1.0,deep-recovery,,1.0,0.0,381.0,s2131103049g0,easy,1.0,0.0
900008,1.0,1.0,cath-led-run,,0.0,1.0,25.0,s1135134341g0,easy,1.0,0.0
900010,1.0,1.0,fight-escaped-near,,1.0,0.0,236.0,s733528875g0,easy,1.0,0.0
900011,1.0,1.0,light-recovery,,0.5,0.5,52.5,s72041879g0,easy,1.0,0.0
900016,1.0,1.0,light-recovery,,0.75,0.0,121.5,s1655387862g0,easy,1.0,0.0
900017,1.0,1.0,deep-recovery,,0.75,0.0,283.5,s2063245862g0,easy,1.0,0.0
900018,1.0,1.0,light-recovery,,0.75,0.0,186.0,s857688274g0,easy,1.0,0.0
900022,1.0,1.0,deep-recovery,,0.75,0.25,335.5,s994316221g0,easy,1.0,0.0
900023,1.0,1.0,light-recovery,,1.0,0.0,179.0,s1807589001g0,easy,1.0,0.0
900025,1.0,1.0,deep-recovery,,0.75,0.25,411.0,s823409318g0,easy,1.0,0.0
900026,1.0,1.0,cath-led-run,,0.0,1.0,36.0,s120813388g0,easy,1.0,0.0
900032,1.0,1.0,cath-led-run,,0.0,1.0,33.5,s1955884022g0,easy,1.0,0.0
900034,1.0,1.0,deep-recovery,,0.75,0.25,385.0,s2025016814g0,easy,1.0,0.0
900036,1.0,1.0,deep-recovery,,0.5,0.25,66.0,s719222618g0,easy,1.0,0.0
900038,1.0,1.0,light-recovery,,1.0,0.0,283.5,s1698373068g0,easy,1.0,0.0
900040,1.0,1.0,cath-led-run,,0.0,1.0,28.0,s1050921583g0,easy,1.0,0.0
900041,1.0,1.0,cath-led-run,,0.25,0.75,33.5,s432477991g0,easy,1.0,0.0
900043,1.0,1.0,light-recovery,,1.0,0.0,458.5,s1898654069g0,easy,1.0,0.0
900044,1.0,1.0,light-recovery,,1.0,0.0,303.0,s846931706g0,easy,1.0,0.0
900046,1.0,1.0,fight-escaped-near,,0.5,0.25,138.0,s791572010g0,easy,1.0,0.0
900049,1.0,1.0,light-recovery,,1.0,0.0,175.5,s710276575g0,easy,1.0,0.0
900052,1.0,1.0,cath-led-run,,0.5,0.5,68.5,s436059836g0,easy,1.0,0.0
900054,1.0,1.0,deep-recovery,,1.0,0.0,144.5,s514338283g0,easy,1.0,0.0
900055,1.0,1.0,light-recovery,,1.0,0.0,81.0,s905047548g0,easy,1.0,0.0
900056,1.0,1.0,free-run,,0.5,0.25,222.0,s940613720g0,easy,1.0,0.0
900057,1.0,1.0,fight-escaped-near,,1.0,0.0,193.0,s800887222g0,easy,1.0,0.0
900058,1.0,1.0,cath-led-run,,0.0,0.75,37.0,s289926302g0,easy,1.0,0.0
900059,1.0,1.0,free-run,,0.25,0.25,89.5,s507949858g0,easy,1.0,0.0
900060,1.0,1.0,cath-led-run,,0.0,0.75,35.0,s6654449g0,easy,1.0,0.0
900064,1.0,1.0,deep-recovery,,0.5,0.25,119.5,s1795658739g0,easy,1.0,0.0
900066,1.0,1.0,cath-led-run,,0.5,0.5,40.0,s767506430g0,easy,1.0,0.0
900067,1.0,1.0,cath-led-run,,0.0,1.0,24.5,s1701875257g0,easy,1.0,0.0
900070,1.0,1.0,fight-escaped-near,,1.0,0.0,209.0,s401951954g0,easy,1.0,0.0
900073,1.0,1.0,cath-led-run,,0.5,0.5,106.0,s1771697106g0,easy,1.0,0.0
900075,1.0,1.0,cath-led-run,,0.5,0.5,65.5,s729849510g0,easy,1.0,0.0
900078,1.0,1.0,deep-recovery,,1.0,0.0,302.0,s69864492g0,easy,1.0,0.0
900081,1.0,1.0,cath-led-run,,0.0,1.0,26.5,s1272664565g0,easy,1.0,0.0
900084,1.0,1.0,cath-led-run,,0.0,1.0,24.0,s1838896344g0,easy,1.0,0.0
900088,1.0,1.0,light-recovery,,0.75,0.25,106.0,s678523767g0,easy,1.0,0.0
900095,1.0,1.0,free-run,,0.0,0.5,39.0,s431543766g0,easy,1.0,0.0
900069,0.3333333333333333,0.0,light-recovery,stuck-midpath,1.0,0.0,601.0,s19148103g0,frontier,0.3333333333333333,0.0
