name,rep,seed,mesh,T,phase,cname,p_end,p_max,t_pmax,idle_since,push_frac,withdrawn,tip_retreat_max,n_events,n_unrec,lead_end,cath_slack_max,slack_max,loop,file
car_best_on_proc,1,900001,s1563758547g1,601,stuck-midpath,6:near-buckle-fight,0.595,0.595,224,186,0.907,85.313,11.215,1,1,-65.44,14.441,18.853,False,D:/neve/.claude/worktrees/rl_improv_18_p2/saved/eve_paper/neurovascular/full/mesh_ben/2026-09-09_213120_rcca_carotid_v3/checkpoints/eval_anatomies_checkpoint2289002/traj_records/20260921_032713\s900001_s1563758547g1_pid72_ep5.npz
proc_on_proc,1,900001,s1563758547g1,601,idle-creep,10:proximal-thrash,0.229,0.229,600,7,0.05,1.348,5.24,0,0,-1.508,4.088,1.196,False,D:/neve/.claude/worktrees/rl_improv_18_p2/saved/eve_paper/neurovascular/full/mesh_ben/2026-07-22_010917_rcca_procedural_v3c/checkpoints/eval_anatomies_checkpoint252305/traj_records/20260921_083833\s900001_s1563758547g1_pid72_ep5.npz
car_best_on_proc,1,900004,s1186725438g1,601,coiled-stuck,8:mega-coil,0.923,0.941,205,2,0.817,211.338,53.471,1,1,31.52,745.615,714.568,True,D:/neve/.claude/worktrees/rl_improv_18_p2/saved/eve_paper/neurovascular/full/mesh_ben/2026-09-09_213120_rcca_carotid_v3/checkpoints/eval_anatomies_checkpoint2289002/traj_records/20260921_032713\s900004_s1186725438g1_pid72_ep2.npz
proc_on_proc,1,900004,s1186725438g1,601,shove-capped,8:mega-coil,0.898,0.953,129,365,0.993,125.133,38.278,2,1,-0.556,749.316,749.442,True,D:/neve/.claude/worktrees/rl_improv_18_p2/saved/eve_paper/neurovascular/full/mesh_ben/2026-07-22_010917_rcca_procedural_v3c/checkpoints/eval_anatomies_checkpoint252305/traj_records/20260921_083833\s900004_s1186725438g1_pid72_ep2.npz
car_best_on_proc,1,900010,s733528875g1,601,stuck-midpath,6:near-buckle-fight,0.692,0.697,144,238,0.894,126.713,9.064,1,1,-63.608,36.256,41.568,False,D:/neve/.claude/worktrees/rl_improv_18_p2/saved/eve_paper/neurovascular/full/mesh_ben/2026-09-09_213120_rcca_carotid_v3/checkpoints/eval_anatomies_checkpoint2289002/traj_records/20260921_032713\s900010_s733528875g1_pid124_ep3.npz
proc_on_proc,1,900010,s733528875g1,601,idle-creep,10:proximal-thrash,0.174,0.216,123,530,0.04,8.864,10.911,0,0,2.158,6.576,2.493,False,D:/neve/.claude/worktrees/rl_improv_18_p2/saved/eve_paper/neurovascular/full/mesh_ben/2026-07-22_010917_rcca_procedural_v3c/checkpoints/eval_anatomies_checkpoint252305/traj_records/20260921_083833\s900010_s733528875g1_pid124_ep3.npz
car_best_on_proc,1,900012,s324135477g1,601,stuck-midpath,6:near-buckle-fight,0.737,0.756,433,394,0.895,126.983,11.574,1,1,-41.179,48.178,46.803,False,D:/neve/.claude/worktrees/rl_improv_18_p2/saved/eve_paper/neurovascular/full/mesh_ben/2026-09-09_213120_rcca_carotid_v3/checkpoints/eval_anatomies_checkpoint2289002/traj_records/20260921_032713\s900012_s324135477g1_pid124_ep1.npz
proc_on_proc,1,900012,s324135477g1,601,coiled-stuck,8:mega-coil,0.753,0.756,251,525,0.975,22.217,3.144,2,1,-0.04,746.3,746.34,True,D:/neve/.claude/worktrees/rl_improv_18_p2/saved/eve_paper/neurovascular/full/mesh_ben/2026-07-22_010917_rcca_procedural_v3c/checkpoints/eval_anatomies_checkpoint252305/traj_records/20260921_083833\s900012_s324135477g1_pid124_ep1.npz
car_best_on_proc,1,900014,s1631463350g1,601,shove-capped,5:shove-fight,0.396,0.848,275,83,0.955,409.373,156.068,1,1,93.819,54.695,55.869,True,D:/neve/.claude/worktrees/rl_improv_18_p2/saved/eve_paper/neurovascular/full/mesh_ben/2026-09-09_213120_rcca_carotid_v3/checkpoints/eval_anatomies_checkpoint2289002/traj_records/20260921_032713\s900014_s1631463350g1_pid165_ep5.npz
proc_on_proc,1,900014,s1631463350g1,601,coiled-stuck,8:mega-coil,0.449,0.848,341,157,0.953,147.151,110.31,1,1,37.823,813.34,800.202,True,D:/neve/.claude/worktrees/rl_improv_18_p2/saved/eve_paper/neurovascular/full/mesh_ben/2026-07-22_010917_rcca_procedural_v3c/checkpoints/eval_anatomies_checkpoint252305/traj_records/20260921_083833\s900014_s1631463350g1_pid165_ep5.npz
car_best_on_proc,1,900016,s1655387862g1,601,stuck-midpath,6:near-buckle-fight,0.644,0.646,295,76,0.913,116.824,30.721,1,1,-36.099,43.064,33.076,False,D:/neve/.claude/worktrees/rl_improv_18_p2/saved/eve_paper/neurovascular/full/mesh_ben/2026-09-09_213120_rcca_carotid_v3/checkpoints/eval_anatomies_checkpoint2289002/traj_records/20260921_032713\s900016_s1655387862g1_pid165_ep3.npz
proc_on_proc,1,900016,s1655387862g1,601,coiled-stuck,8:mega-coil,0.036,0.646,382,237,0.842,167.658,141.993,1,1,-13.785,821.54,823.784,True,D:/neve/.claude/worktrees/rl_improv_18_p2/saved/eve_paper/neurovascular/full/mesh_ben/2026-07-22_010917_rcca_procedural_v3c/checkpoints/eval_anatomies_checkpoint252305/traj_records/20260921_083833\s900016_s1655387862g1_pid165_ep3.npz
car_best_on_proc,1,900019,s1894111997g0,601,stuck-midpath,6:near-buckle-fight,0.657,0.657,92,528,0.894,75.741,2.897,1,1,-69.176,22.952,26.093,False,D:/neve/.claude/worktrees/rl_improv_18_p2/saved/eve_paper/neurovascular/full/mesh_ben/2026-09-09_213120_rcca_carotid_v3/checkpoints/eval_anatomies_checkpoint2289002/traj_records/20260921_032713\s900019_s1894111997g0_pid165_ep0.npz
proc_on_proc,1,900019,s1894111997g0,601,coiled-stuck,8:mega-coil,0.508,0.575,76,22,0.918,120.422,20.796,1,1,1.285,773.529,772.21,True,D:/neve/.claude/worktrees/rl_improv_18_p2/saved/eve_paper/neurovascular/full/mesh_ben/2026-07-22_010917_rcca_procedural_v3c/checkpoints/eval_anatomies_checkpoint252305/traj_records/20260921_083833\s900019_s1894111997g0_pid165_ep0.npz
car_best_on_proc,1,900020,s8844972g1,601,stuck-midpath,7:midpath-thrash,0.244,0.599,81,6,0.95,173.917,123.637,1,1,32.278,24.683,21.641,False,D:/neve/.claude/worktrees/rl_improv_18_p2/saved/eve_paper/neurovascular/full/mesh_ben/2026-09-09_213120_rcca_carotid_v3/checkpoints/eval_anatomies_checkpoint2289002/traj_records/20260921_032713\s900020_s8844972g1_pid206_ep5.npz
proc_on_proc,1,900020,s8844972g1,601,cath-led-run,10:proximal-thrash,0.209,0.226,80,548,0.057,5.001,9.006,0,0,0.211,4.851,0.0,False,D:/neve/.claude/worktrees/rl_improv_18_p2/saved/eve_paper/neurovascular/full/mesh_ben/2026-07-22_010917_rcca_procedural_v3c/checkpoints/eval_anatomies_checkpoint252305/traj_records/20260921_083833\s900020_s8844972g1_pid206_ep5.npz
car_best_on_proc,1,900021,s1905292856g1,601,coiled-stuck,8:mega-coil,0.542,0.561,105,368,0.932,90.596,17.971,1,1,-344.204,11.195,198.15,True,D:/neve/.claude/worktrees/rl_improv_18_p2/saved/eve_paper/neurovascular/full/mesh_ben/2026-09-09_213120_rcca_carotid_v3/checkpoints/eval_anatomies_checkpoint2289002/traj_records/20260921_032713\s900021_s1905292856g1_pid206_ep4.npz
proc_on_proc,1,900021,s1905292856g1,601,light-recovery,10:proximal-thrash,0.249,0.249,600,553,0.108,0.925,1.009,2,0,-20.47,5.265,0.022,False,D:/neve/.claude/worktrees/rl_improv_18_p2/saved/eve_paper/neurovascular/full/mesh_ben/2026-07-22_010917_rcca_procedural_v3c/checkpoints/eval_anatomies_checkpoint252305/traj_records/20260921_083833\s900021_s1905292856g1_pid206_ep4.npz
