seed,car_best_on_proc,proc_on_proc
900000,1.0,1.0
900001,0.0,0.0
900002,1.0,1.0
900003,1.0,1.0
900004,0.0,0.0
900005,1.0,1.0
900006,1.0,1.0
900007,1.0,1.0
900008,1.0,1.0
900009,1.0,1.0
900010,0.0,0.0
900011,1.0,1.0
900012,0.0,0.0
900013,1.0,1.0
900014,0.0,0.0
900015,1.0,1.0
900016,0.0,0.0
900017,1.0,1.0
900018,1.0,1.0
900019,0.0,0.0
900020,0.0,0.0
900021,0.0,0.0
900022,1.0,1.0
900023,1.0,0.0
900024,0.0,0.0
900025,1.0,1.0
900026,1.0,1.0
900027,0.0,0.0
900028,0.0,0.0
900029,0.0,0.0
900030,0.0,0.0
900031,1.0,0.0
900032,1.0,1.0
900033,0.0,0.0
900034,1.0,1.0
900035,0.0,0.0
900036,1.0,1.0
900037,0.0,0.0
900038,1.0,1.0
900039,1.0,0.0
900040,1.0,1.0
900041,1.0,1.0
900042,0.0,0.0
900043,1.0,0.0
900044,1.0,1.0
900045,1.0,0.0
900046,0.0,0.0
900047,0.0,0.0
900048,0.0,0.0
900049,0.0,0.0
900050,1.0,1.0
900051,0.0,0.0
900052,1.0,1.0
900053,1.0,1.0
900054,1.0,1.0
900055,1.0,1.0
900056,1.0,1.0
900057,1.0,1.0
900058,1.0,1.0
900059,1.0,1.0
900060,1.0,1.0
900061,1.0,1.0
900062,0.0,0.0
900063,0.0,0.0
900064,1.0,0.0
900065,0.0,0.0
900066,1.0,1.0
900067,1.0,1.0
900068,1.0,1.0
900069,1.0,0.0
900070,0.0,0.0
900071,0.0,0.0
900072,0.0,0.0
900073,0.0,0.0
900074,1.0,1.0
900075,1.0,1.0
900076,0.0,0.0
900077,1.0,1.0
900078,1.0,1.0
900079,0.0,0.0
900080,0.0,0.0
900081,1.0,1.0
900082,1.0,1.0
900083,0.0,0.0
900084,1.0,1.0
900085,1.0,1.0
900086,1.0,0.0
900087,0.0,0.0
900088,1.0,1.0
900089,0.0,0.0
900090,0.0,0.0
900091,1.0,1.0
900092,0.0,0.0
900093,1.0,1.0
900094,0.0,0.0
900095,1.0,1.0
900096,0.0,0.0
900097,0.0,0.0
