seed,name,n,p,p_rec,dom,mesh
900000,car_best_on_proc,1,1.0,0.0,2:cathled-sprint-success,s1020043290g1
900000,proc_on_proc,1,1.0,0.0,2:cathled-sprint-success,s1020043290g1
900001,car_best_on_proc,1,0.0,0.0,6:near-buckle-fight,s1563758547g1
900001,proc_on_proc,1,0.0,0.0,10:proximal-thrash,s1563758547g1
900002,car_best_on_proc,1,1.0,0.0,2:cathled-sprint-success,s646285556g1
900002,proc_on_proc,1,1.0,0.0,2:cathled-sprint-success,s646285556g1
900003,car_best_on_proc,1,1.0,0.0,2:cathled-sprint-success,s362260794g1
900003,proc_on_proc,1,1.0,0.0,2:cathled-sprint-success,s362260794g1
900004,car_best_on_proc,1,0.0,0.0,8:mega-coil,s1186725438g1
900004,proc_on_proc,1,0.0,0.0,8:mega-coil,s1186725438g1
900005,car_best_on_proc,1,1.0,0.0,2:cathled-sprint-success,s56786124g1
900005,proc_on_proc,1,1.0,0.0,2:cathled-sprint-success,s56786124g1
900006,car_best_on_proc,1,1.0,0.0,2:cathled-sprint-success,s2131103049g0
900006,proc_on_proc,1,1.0,0.0,2:cathled-sprint-success,s2131103049g0
900007,car_best_on_proc,1,1.0,0.0,2:cathled-sprint-success,s1875621913g1
900007,proc_on_proc,1,1.0,0.0,2:cathled-sprint-success,s1875621913g1
900008,car_best_on_proc,1,1.0,0.0,2:cathled-sprint-success,s1135134341g1
900008,proc_on_proc,1,1.0,0.0,2:cathled-sprint-success,s1135134341g1
900009,car_best_on_proc,1,1.0,0.0,8:mega-coil,s262217262g1
900009,proc_on_proc,1,1.0,1.0,4:deep-recovery-success,s262217262g1
900010,car_best_on_proc,1,0.0,0.0,6:near-buckle-fight,s733528875g1
900010,proc_on_proc,1,0.0,0.0,10:proximal-thrash,s733528875g1
900011,car_best_on_proc,1,1.0,0.0,2:cathled-sprint-success,s72041879g1
900011,proc_on_proc,1,1.0,0.0,2:cathled-sprint-success,s72041879g1
900012,car_best_on_proc,1,0.0,0.0,6:near-buckle-fight,s324135477g1
900012,proc_on_proc,1,0.0,0.0,8:mega-coil,s324135477g1
900013,car_best_on_proc,1,1.0,0.0,0:clean-success,s89051603g0
900013,proc_on_proc,1,1.0,1.0,4:deep-recovery-success,s89051603g0
900014,car_best_on_proc,1,0.0,0.0,5:shove-fight,s1631463350g1
900014,proc_on_proc,1,0.0,0.0,8:mega-coil,s1631463350g1
900015,car_best_on_proc,1,1.0,0.0,0:clean-success,s1188724579g1
900015,proc_on_proc,1,1.0,1.0,4:deep-recovery-success,s1188724579g1
900016,car_best_on_proc,1,0.0,0.0,6:near-buckle-fight,s1655387862g1
900016,proc_on_proc,1,0.0,0.0,8:mega-coil,s1655387862g1
900017,car_best_on_proc,1,1.0,0.0,2:cathled-sprint-success,s2063245862g1
900017,proc_on_proc,1,1.0,0.0,2:cathled-sprint-success,s2063245862g1
900018,car_best_on_proc,1,1.0,0.0,1:clean-fast-success,s857688274g1
900018,proc_on_proc,1,1.0,0.0,2:cathled-sprint-success,s857688274g1
900019,car_best_on_proc,1,0.0,0.0,6:near-buckle-fight,s1894111997g0
900019,proc_on_proc,1,0.0,0.0,8:mega-coil,s1894111997g0
900020,car_best_on_proc,1,0.0,0.0,7:midpath-thrash,s8844972g1
900020,proc_on_proc,1,0.0,0.0,10:proximal-thrash,s8844972g1
900021,car_best_on_proc,1,0.0,0.0,8:mega-coil,s1905292856g1
900021,proc_on_proc,1,0.0,0.0,10:proximal-thrash,s1905292856g1
900022,car_best_on_proc,1,1.0,0.0,2:cathled-sprint-success,s994316221g1
900022,proc_on_proc,1,1.0,0.0,2:cathled-sprint-success,s994316221g1
900023,car_best_on_proc,1,1.0,1.0,4:deep-recovery-success,s1807589001g1
900023,proc_on_proc,1,0.0,0.0,8:mega-coil,s1807589001g1
900024,car_best_on_proc,1,0.0,0.0,6:near-buckle-fight,s1347551054g1
900024,proc_on_proc,1,0.0,0.0,8:mega-coil,s1347551054g1
900025,car_best_on_proc,1,1.0,0.0,7:midpath-thrash,s823409318g0
900025,proc_on_proc,1,1.0,0.0,2:cathled-sprint-success,s823409318g0
900026,car_best_on_proc,1,1.0,0.0,2:cathled-sprint-success,s120813388g1
900026,proc_on_proc,1,1.0,0.0,2:cathled-sprint-success,s120813388g1
900027,car_best_on_proc,1,0.0,0.0,6:near-buckle-fight,s54421594g1
900027,proc_on_proc,1,0.0,0.0,8:mega-coil,s54421594g1
900028,car_best_on_proc,1,0.0,0.0,6:near-buckle-fight,s1817049148g1
900028,proc_on_proc,1,0.0,0.0,8:mega-coil,s1817049148g1
900029,car_best_on_proc,1,0.0,0.0,6:near-buckle-fight,s779366404g1
900029,proc_on_proc,1,0.0,0.0,7:midpath-thrash,s779366404g1
900030,car_best_on_proc,1,0.0,0.0,6:near-buckle-fight,s487386244g1
900030,proc_on_proc,1,0.0,0.0,8:mega-coil,s487386244g1
900031,car_best_on_proc,1,1.0,0.0,0:clean-success,s47544376g0
900031,proc_on_proc,1,0.0,0.0,8:mega-coil,s47544376g0
900032,car_best_on_proc,1,1.0,0.0,2:cathled-sprint-success,s1955884022g1
900032,proc_on_proc,1,1.0,0.0,2:cathled-sprint-success,s1955884022g1
900033,car_best_on_proc,1,0.0,0.0,6:near-buckle-fight,s820931024g1
900033,proc_on_proc,1,0.0,0.0,8:mega-coil,s820931024g1
900034,car_best_on_proc,1,1.0,0.0,2:cathled-sprint-success,s2025016814g1
900034,proc_on_proc,1,1.0,0.0,2:cathled-sprint-success,s2025016814g1
900035,car_best_on_proc,1,0.0,0.0,6:near-buckle-fight,s1887051287g1
900035,proc_on_proc,1,0.0,0.0,8:mega-coil,s1887051287g1
900036,car_best_on_proc,1,1.0,0.0,2:cathled-sprint-success,s719222618g1
900036,proc_on_proc,1,1.0,0.0,2:cathled-sprint-success,s719222618g1
900037,car_best_on_proc,1,0.0,0.0,6:near-buckle-fight,s609316899g0
