seed,n,p,clean,rec,min_strong,max_strong,spread_strong,min_weak,cls
900000,2,1.0,1.0,0.0,1.0,1.0,0.0,1.0,easy
900001,2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,floor
900002,2,1.0,1.0,0.0,1.0,1.0,0.0,1.0,easy
900003,2,1.0,1.0,0.0,1.0,1.0,0.0,1.0,easy
900004,2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,floor
900005,2,1.0,1.0,0.0,1.0,1.0,0.0,1.0,easy
900006,2,1.0,1.0,0.0,1.0,1.0,0.0,1.0,easy
900007,2,1.0,1.0,0.0,1.0,1.0,0.0,1.0,easy
900008,2,1.0,1.0,0.0,1.0,1.0,0.0,1.0,easy
900009,2,1.0,0.0,0.5,1.0,1.0,0.0,1.0,easy
900010,2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,floor
900011,2,1.0,1.0,0.0,1.0,1.0,0.0,1.0,easy
900012,2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,floor
900013,2,1.0,0.5,0.5,1.0,1.0,0.0,1.0,easy
900014,2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,floor
900015,2,1.0,0.5,0.5,1.0,1.0,0.0,1.0,easy
900016,2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,floor
900017,2,1.0,1.0,0.0,1.0,1.0,0.0,1.0,easy
900018,2,1.0,1.0,0.0,1.0,1.0,0.0,1.0,easy
900019,2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,floor
900020,2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,floor
900021,2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,floor
900022,2,1.0,1.0,0.0,1.0,1.0,0.0,1.0,easy
900023,2,0.5,0.0,0.5,0.0,1.0,1.0,1.0,frontier
900024,2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,floor
900025,2,1.0,0.5,0.0,1.0,1.0,0.0,1.0,easy
900026,2,1.0,1.0,0.0,1.0,1.0,0.0,1.0,easy
