seed,car_best_on_proc,proc_on_proc,succ_phase,fail_phase,rec_share,cathled_share,medT,mesh,cls,min_strong,spread_strong
900000,1.0,1.0,cath-led-run,,0.0,1.0,30.5,s1020043290g1,easy,1.0,0.0
900002,1.0,1.0,free-run,,0.0,0.5,31.5,s646285556g1,easy,1.0,0.0
900003,1.0,1.0,cath-led-run,,0.0,1.0,42.5,s362260794g1,easy,1.0,0.0
900005,1.0,1.0,free-run,,0.0,0.5,39.0,s56786124g1,easy,1.0,0.0
900006,1.0,1.0,cath-led-run,,0.0,1.0,46.0,s2131103049g0,easy,1.0,0.0
900007,1.0,1.0,cath-led-run,,0.0,1.0,54.5,s1875621913g1,easy,1.0,0.0
900008,1.0,1.0,free-run,,0.0,0.5,23.5,s1135134341g1,easy,1.0,0.0
900009,1.0,1.0,light-recovery,,1.0,0.0,249.0,s262217262g1,easy,1.0,0.0
900011,1.0,1.0,cath-led-run,,0.0,1.0,27.0,s72041879g1,easy,1.0,0.0
900013,1.0,1.0,cath-led-run,,0.5,0.5,98.5,s89051603g0,easy,1.0,0.0
900015,1.0,1.0,free-run,,0.5,0.0,102.5,s1188724579g1,easy,1.0,0.0
900017,1.0,1.0,free-run,,0.0,0.5,43.5,s2063245862g1,easy,1.0,0.0
900018,1.0,1.0,free-run,,0.0,0.5,51.5,s857688274g1,easy,1.0,0.0
900022,1.0,1.0,cath-led-run,,0.0,1.0,47.0,s994316221g1,easy,1.0,0.0
900025,1.0,1.0,deep-recovery,,0.5,0.5,294.0,s823409318g0,easy,1.0,0.0
900026,1.0,1.0,cath-led-run,,0.0,1.0,30.0,s120813388g1,easy,1.0,0.0
900032,1.0,1.0,cath-led-run,,0.0,1.0,35.5,s1955884022g1,easy,1.0,0.0
900034,1.0,1.0,free-run,,0.0,0.5,42.0,s2025016814g1,easy,1.0,0.0
900036,1.0,1.0,free-run,,0.0,0.5,33.5,s719222618g1,easy,1.0,0.0
900038,1.0,1.0,free-run,,0.0,0.5,44.0,s1698373068g1,easy,1.0,0.0
900040,1.0,1.0,cath-led-run,,0.0,1.0,26.5,s1050921583g1,easy,1.0,0.0
900041,1.0,1.0,cath-led-run,,0.0,1.0,32.5,s432477991g1,easy,1.0,0.0
900044,1.0,1.0,free-run,,0.0,0.5,44.5,s846931706g1,easy,1.0,0.0
900050,1.0,1.0,cath-led-run,,0.0,1.0,57.0,s221841882g1,easy,1.0,0.0
900052,1.0,1.0,cath-led-run,,0.0,1.0,32.0,s436059836g1,easy,1.0,0.0
900053,1.0,1.0,free-run,,0.5,0.0,127.5,s666874983g1,easy,1.0,0.0
900054,1.0,1.0,cath-led-run,,0.0,1.0,35.5,s514338283g1,easy,1.0,0.0
900055,1.0,1.0,cath-led-run,,0.0,1.0,34.5,s905047548g0,easy,1.0,0.0
900056,1.0,1.0,cath-led-run,,0.0,1.0,45.5,s940613720g1,easy,1.0,0.0
900057,1.0,1.0,free-run,,0.5,0.0,112.0,s800887222g1,easy,1.0,0.0
900058,1.0,1.0,free-run,,0.0,0.5,38.0,s289926302g1,easy,1.0,0.0
900059,1.0,1.0,free-run,,0.5,0.0,83.0,s507949858g1,easy,1.0,0.0
900060,1.0,1.0,cath-led-run,,0.0,1.0,32.5,s6654449g1,easy,1.0,0.0
900061,1.0,1.0,free-run,,0.0,0.5,37.0,s1357272110g0,easy,1.0,0.0
900066,1.0,1.0,free-run,,0.0,0.5,26.0,s767506430g1,easy,1.0,0.0
900067,1.0,1.0,cath-led-run,,0.0,1.0,25.0,s1701875257g0,easy,1.0,0.0
900068,1.0,1.0,free-run,,0.5,0.0,147.0,s871533636g1,easy,1.0,0.0
900074,1.0,1.0,free-run,,0.0,0.5,75.0,s704111850g1,easy,1.0,0.0
900075,1.0,1.0,cath-led-run,,0.0,1.0,30.5,s729849510g1,easy,1.0,0.0
900077,1.0,1.0,free-run,,0.5,0.0,92.5,s1097759322g1,easy,1.0,0.0
900078,1.0,1.0,free-run,,0.5,0.0,82.0,s69864492g1,easy,1.0,0.0
900081,1.0,1.0,cath-led-run,,0.0,1.0,25.0,s1272664565g1,easy,1.0,0.0
900082,1.0,1.0,cath-led-run,,0.0,1.0,49.0,s1195408531g1,easy,1.0,0.0
900084,1.0,1.0,cath-led-run,,0.0,1.0,23.0,s1838896344g1,easy,1.0,0.0
900085,1.0,1.0,free-run,,0.5,0.0,80.0,s1272475282g0,easy,1.0,0.0
900088,1.0,1.0,free-run,,0.5,0.0,100.0,s678523767g1,easy,1.0,0.0
900091,1.0,1.0,free-run,,0.0,0.5,57.5,s875903860g0,easy,1.0,0.0
