id,dir,trace,frames
1,D:/neve/.claude/worktrees/rl_improv_18_p2/saved/eve_paper/neurovascular/full/mesh_ben/frontier_campaign/anim_carotid/abl_best_rep1/5_shove_fight/s0139_casew013righttopcowmr021L_601st_fail,D:/neve/.claude/worktrees/rl_improv_18_p2/saved/eve_paper/neurovascular/full/mesh_ben/frontier_campaign/anim_carotid/abl_best_rep1/5_shove_fight/s0139_casew013righttopcowmr021L_601st_fail/trace.png,k0_start_s027.png;k9_end_s601.png
2,D:/neve/.claude/worktrees/rl_improv_18_p2/saved/eve_paper/neurovascular/full/mesh_ben/frontier_campaign/anim_carotid/abl_best_rep3/6_near_fight/s0016_casem030righttopcowmr016L_601st_fail,D:/neve/.claude/worktrees/rl_improv_18_p2/saved/eve_paper/neurovascular/full/mesh_ben/frontier_campaign/anim_carotid/abl_best_rep3/6_near_fight/s0016_casem030righttopcowmr016L_601st_fail/trace.png,k0_start_s011.png;k9_end_s601.png
3,D:/neve/.claude/worktrees/rl_improv_18_p2/saved/eve_paper/neurovascular/full/mesh_ben/frontier_campaign/anim_carotid/abl_best_rep2/6_near_fight/s0167_casem030righttopcowmr013L_601st_fail,D:/neve/.claude/worktrees/rl_improv_18_p2/saved/eve_paper/neurovascular/full/mesh_ben/frontier_campaign/anim_carotid/abl_best_rep2/6_near_fight/s0167_casem030righttopcowmr013L_601st_fail/trace.png,k0_start_s026.png;k9_end_s601.png
4,D:/neve/.claude/worktrees/rl_improv_18_p2/saved/eve_paper/neurovascular/full/mesh_ben/frontier_campaign/anim_carotid/abl_best_rep1/6_near_fight/s0134_casew007lefttopcowmr013L_601st_fail,D:/neve/.claude/worktrees/rl_improv_18_p2/saved/eve_paper/neurovascular/full/mesh_ben/frontier_campaign/anim_carotid/abl_best_rep1/6_near_fight/s0134_casew007lefttopcowmr013L_601st_fail/trace.png,k0_start_s028.png;k1_stall_e1_s101.png;k2_load_e1_s101.png;k3_withdraw_e1_s188.png;k4_escape_e1_s287.png;k9_end_s601.png
5,D:/neve/.claude/worktrees/rl_improv_18_p2/saved/eve_paper/neurovascular/full/mesh_ben/frontier_campaign/anim_carotid/abl_best_rep3/6_near_fight/s0154_casew007lefttopcowmr021L_601st_fail,D:/neve/.claude/worktrees/rl_improv_18_p2/saved/eve_paper/neurovascular/full/mesh_ben/frontier_campaign/anim_carotid/abl_best_rep3/6_near_fight/s0154_casew007lefttopcowmr021L_601st_fail/trace.png,k0_start_s028.png;k9_end_s601.png
6,D:/neve/.claude/worktrees/rl_improv_18_p2/saved/eve_paper/neurovascular/full/mesh_ben/frontier_campaign/anim_carotid/abl_last_rep1/7_midpath_thrash/s0023_casew013righttopcowmr013L_601st_fail,D:/neve/.claude/worktrees/rl_improv_18_p2/saved/eve_paper/neurovascular/full/mesh_ben/frontier_campaign/anim_carotid/abl_last_rep1/7_midpath_thrash/s0023_casew013righttopcowmr013L_601st_fail/trace.png,k0_start_s023.png;k9_end_s601.png
7,D:/neve/.claude/worktrees/rl_improv_18_p2/saved/eve_paper/neurovascular/full/mesh_ben/frontier_campaign/anim_carotid/abl_last_rep1/7_midpath_thrash/s0167_casem030righttopcowmr013L_601st_fail,D:/neve/.claude/worktrees/rl_improv_18_p2/saved/eve_paper/neurovascular/full/mesh_ben/frontier_campaign/anim_carotid/abl_last_rep1/7_midpath_thrash/s0167_casem030righttopcowmr013L_601st_fail/trace.png,k0_start_s022.png;k9_end_s601.png
8,D:/neve/.claude/worktrees/rl_improv_18_p2/saved/eve_paper/neurovascular/full/mesh_ben/frontier_campaign/anim_carotid/abl_last_rep1/7_midpath_thrash/s0134_casew007lefttopcowmr013L_601st_fail,D:/neve/.claude/worktrees/rl_improv_18_p2/saved/eve_paper/neurovascular/full/mesh_ben/frontier_campaign/anim_carotid/abl_last_rep1/7_midpath_thrash/s0134_casew007lefttopcowmr013L_601st_fail/trace.png,k0_start_s020.png;k9_end_s601.png
9,D:/neve/.claude/worktrees/rl_improv_18_p2/saved/eve_paper/neurovascular/full/mesh_ben/frontier_campaign/anim_carotid/abl_last_rep1/7_midpath_thrash/s0055_casem030righttopcowmr003L_601st_fail,D:/neve/.claude/worktrees/rl_improv_18_p2/saved/eve_paper/neurovascular/full/mesh_ben/frontier_campaign/anim_carotid/abl_last_rep1/7_midpath_thrash/s0055_casem030righttopcowmr003L_601st_fail/trace.png,k0_start_s023.png;k9_end_s601.png
10,D:/neve/.claude/worktrees/rl_improv_18_p2/saved/eve_paper/neurovascular/full/mesh_ben/frontier_campaign/anim_carotid/abl_last_rep1/8_coil/s0002_casew025righttopcowmr016L_601st_fail,D:/neve/.claude/worktrees/rl_improv_18_p2/saved/eve_paper/neurovascular/full/mesh_ben/frontier_campaign/anim_carotid/abl_last_rep1/8_coil/s0002_casew025righttopcowmr016L_601st_fail/trace.png,k0_start_s019.png;k9_end_s601.png
