id,tag,seed,success,phase,cname,p_end,loop,cath_slack_max,withdrawn
1,abl_best_rep1,139,False,shove-capped,5:shove-fight,0.91,True,436.5,429.4
2,abl_best_rep3,16,False,doorstep-stall,6:near-buckle-fight,0.94,False,7.9,264.7
3,abl_best_rep2,167,False,doorstep-stall,6:near-buckle-fight,0.97,False,14.2,171.7
4,abl_best_rep1,134,False,shove-capped,6:near-buckle-fight,0.91,True,294.2,348.2
5,abl_best_rep3,154,False,shove-capped,6:near-buckle-fight,0.92,True,135.3,154.2
6,abl_last_rep1,23,False,stuck-midpath,7:midpath-thrash,0.38,False,8.9,113.3
7,abl_last_rep1,167,False,stuck-midpath,7:midpath-thrash,0.4,False,8.7,133.9
8,abl_last_rep1,134,False,stuck-midpath,7:midpath-thrash,0.37,False,8.2,72.9
9,abl_last_rep1,55,False,stuck-midpath,7:midpath-thrash,0.36,False,7.8,118.4
10,abl_last_rep1,2,False,coiled-stuck,8:mega-coil,0.91,True,18.7,18.5
11,car_best_rep2,55,False,doorstep-stall,6:near-buckle-fight,0.92,False,7.8,246.2
12,car_best_rep2,23,False,doorstep-stall,6:near-buckle-fight,0.9,False,8.3,842.9
13,car_best_rep4,134,False,doorstep-stall,6:near-buckle-fight,0.91,False,15.5,690.9
14,car_best_rep1,55,False,doorstep-stall,6:near-buckle-fight,0.94,False,20.1,207.2
15,car_best_rep4,55,False,doorstep-stall,6:near-buckle-fight,0.92,False,32.3,180.3
16,car_peak_rep1,134,False,shove-capped,8:mega-coil,0.95,True,561.2,319.7
17,car_peak_rep1,23,False,deep-recovery,5:shove-fight,0.83,False,8.4,97.3
18,car_peak_rep2,55,False,doorstep-stall,6:near-buckle-fight,0.88,False,12.4,342.6
19,car_peak_rep1,8,False,doorstep-stall,6:near-buckle-fight,0.94,False,25.4,895.9
20,car_peak_rep2,23,False,deep-recovery,5:shove-fight,0.84,False,8.4,100.6
21,car_best_rep2,167,True,deep-recovery,3:light-recovery-success,0.98,False,8.7,63.4
22,car_best_rep1,134,True,deep-recovery,6:near-buckle-fight,0.99,False,23.8,219.3
23,car_best_rep4,139,True,deep-recovery,4:deep-recovery-success,0.98,False,18.9,110.1
24,car_best_rep1,8,True,deep-recovery,6:near-buckle-fight,0.99,False,7.8,299.1
25,car_best_rep3,8,True,deep-recovery,4:deep-recovery-success,0.98,False,22.6,114.3
26,car_best_rep1,139,True,deep-recovery,4:deep-recovery-success,0.98,False,20.8,51.4
