cluster,n,succ,coil,shove,recovered,long_succ,steps,prog_max,prog_final,slack_max,cath_slack_max,cath_lead_max,giveback_mm,flat_frac,fold_max,withdrawn_mm,ret_bouts,ret_bout_max_mm,reversals,ev_n,ev_unrec,ev_ret_max,ev_last_close_frac,off_steps,phys_RVA,tip_tortuosity,xt_max
0,53694,1.0,0.001,0.002,0.001,0.001,86.0,0.9837596427121397,0.9837565565954964,4.960000000000004,7.9,18.090000000000003,0.20000000000000284,0.036585365853658534,2.0,10.849999999999994,7.0,3.289999999999999,10.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,1.4226251863615769,5.7
1,40396,1.0,0.0,0.001,0.001,0.007,71.0,0.9836819016853753,0.9836798278907537,4.75,7.5,9.090000000000003,0.0,0.0,0.0,2.9199999999999946,3.0,1.6999999999999886,4.0,0.0,0.0,0.0,-1.0,0.0,0.0,1.3231089765839055,5.68
2,12300,0.994,0.001,0.554,0.051,0.007,37.0,0.9754098360655739,0.9754098360655739,-0.7,8.3,64.82,0.0,0.0,0.0,10.865,3.0,5.76,4.0,0.0,0.0,0.0,-1.0,0.0,0.0,1.3169571165996643,5.75
3,7546,0.98,0.032,0.075,0.961,0.259,140.0,0.9835742093703091,0.9835458658988071,13.469999999999985,9.0,22.42,12.400000000000002,0.3283012418821921,4.0,51.874999999999986,18.0,8.825000000000003,30.0,1.0,0.0,2.39,0.8174129702414374,0.0,0.0,1.7679620944452532,5.77
4,2535,0.808,0.34,0.153,0.959,0.37,216.0,0.9830908375933936,0.9830007390983,39.089999999999975,30.0,27.340000000000003,20.40000000000002,0.553763440860215,6.0,105.25999999999999,33.0,12.090000000000032,52.0,2.0,0.0,7.44,0.9382716049382716,0.0,0.0,2.1362292785512165,5.75
5,3060,0.32,0.38,0.716,0.768,0.26,600.0,0.8890147828269128,0.8231385025321785,5.844999999999999,22.7,124.78,69.90000000000056,0.835,6.0,419.53,111.0,19.64999999999999,184.0,2.0,1.0,23.93,0.5633333333333334,0.0,0.0,2.885751892123028,5.88
6,1948,0.264,0.49,0.268,0.584,0.254,600.0,0.9531495985544023,0.9290554005579912,49.93499999999999,31.8,60.45,45.49999999999991,0.845,8.0,430.8049999999999,118.0,20.40500000000001,197.0,1.0,1.0,25.345,0.20833333333333334,0.0,0.0,2.7183740081068413,5.9
7,4549,0.145,0.049,0.404,0.974,0.139,600.0,0.48971377459749554,0.42674680691209615,9.350000000000001,7.8,43.22,214.10000000000002,0.88,5.0,562.04,145.0,16.490000000000002,254.0,5.0,1.0,20.19,0.83,0.0,8.0,8.50628946551964,6.78
8,2155,0.071,0.995,0.703,0.49,0.07,600.0,0.8290310512532734,0.7225913621262459,639.7900000000001,718.7,142.14,67.89999999999998,0.9,41.0,319.6800000000001,79.0,20.870000000000005,135.0,1.0,1.0,0.54,-1.0,0.0,0.0,2.7632293301992608,5.91
9,5904,0.006,0.005,0.998,0.268,0.003,600.0,0.708499340673812,0.6653991467735625,-0.9,8.5,899.25,52.40000000000002,0.92,4.0,86.905,18.0,16.479999999999997,27.0,1.0,1.0,2.16,-1.0,0.0,0.0,2.509448865577391,5.75
10,4468,0.001,0.03,0.11,0.735,0.001,600.0,0.18735261745469023,0.09964025420504936,7.849999999999999,6.9,28.68,235.45,0.9483333333333334,4.0,578.1099999999999,146.0,15.469999999999999,253.0,3.0,1.0,17.494999999999997,0.3308333333333333,0.0,7.5,27.404883809955404,6.06
