tag,win,n,ex_succ,next_succ,prev_succ,med_steps,rec_share,rec_share_of_succ,coil,shove,thrash,near,far,fail_coil,fail_thrash,fail_shove,fail_near
car_nopriv,1,979.0,78.85597548518896,43.87755102040816,31.63265306122449,153.0,35.95505617977528,39.766839378238345,4.085801838610827,13.176710929519919,4.59652706843718,2.247191011235955,0.0,19.32367149758454,20.77294685990338,28.502415458937197,9.66183574879227
car_nopriv,2,789.0,61.08998732572877,70.40816326530613,43.87755102040816,226.0,18.377693282636248,28.838174273858918,1.394169835234474,33.96704689480355,9.505703422053232,2.5348542458808616,0.0,3.5830618892508146,23.452768729641694,65.47231270358306,5.537459283387622
car_nopriv,3,1683.0,93.4640522875817,91.83673469387756,70.40816326530613,85.0,19.31075460487225,20.152574698029245,0.53475935828877,3.8027332144979207,1.7825311942959003,2.6737967914438503,0.0,6.363636363636363,22.727272727272727,36.36363636363637,27.27272727272727
car_nopriv,4,1882.0,93.41126461211478,91.83673469387756,91.83673469387756,82.0,15.94048884165781,16.780432309442546,0.5844845908607864,3.34750265674814,1.7534537725823591,2.0191285866099893,0.0,7.258064516129033,24.193548387096776,42.74193548387097,21.774193548387096
car_v3,0,593.0,52.78246205733558,76.53061224489795,,523.0,24.11467116357504,40.2555910543131,0.6745362563237773,37.436762225969645,32.377740303541316,1.5177065767284992,0.0,1.4285714285714286,57.14285714285714,32.5,2.857142857142857
car_v3,1,987.0,84.70111448834852,87.75510204081633,76.53061224489795,167.0,43.87031408308004,49.16267942583732,2.127659574468085,12.056737588652481,6.484295845997974,3.1408308004052685,0.0,13.245033112582782,27.1523178807947,30.4635761589404,14.56953642384106
car_v3,2,1193.0,79.37971500419113,38.775510204081634,87.75510204081633,144.0,35.28918692372171,43.50580781414995,0.2514668901927913,4.0234702430846605,19.865884325230514,0.9220452640402346,0.0,1.2195121951219512,84.95934959349594,6.504065040650407,3.6585365853658534
car_v3,3,889.0,88.9763779527559,94.89795918367348,38.775510204081634,137.0,36.445444319460066,39.317319848293295,0.0,0.8998875140607425,17.99775028121485,2.5871766029246346,0.0,0.0,72.44897959183673,3.061224489795918,11.224489795918368
car_v3,4,1984.0,96.42137096774194,96.93877551020408,94.89795918367348,85.0,25.403225806451612,25.718766335598538,0.05040322580645161,1.310483870967742,0.25201612903225806,3.225806451612903,0.0,1.4084507042253522,7.042253521126761,15.492957746478872,59.154929577464785
car_v3,5,792.0,61.23737373737374,91.83673469387756,96.93877551020408,449.0,16.161616161616163,24.329896907216494,0.5050505050505051,3.6616161616161618,48.98989898989899,0.6313131313131313,0.0,1.3029315960912053,87.62214983713355,6.188925081433225,1.6286644951140066
