tag,family,ck,n,succ,med_steps,succ_ge200,rec_share_of_succ,fail_coil,fail_shove,fail_thrash,fail_near,fail_far
host_p2_teacher_v1bp_ck0_20260901_215303,p2_teacher_v1bp,0,98.0,0.0,600.0,0.0,,1.0204081632653061,10.204081632653061,83.6734693877551,0.0,0.0
host_p2_teacher_v1bp_ck0_20260901_191552,p2_teacher_v1bp,0,98.0,9.183673469387756,600.0,9.0,66.66666666666666,0.0,14.606741573033707,80.89887640449437,0.0,0.0
host_tbv1r1_ck256370,tbv1r1,256370,82.0,45.1219512195122,600.0,3.0,18.91891891891892,17.77777777777778,48.888888888888886,4.444444444444445,24.444444444444443,0.0
host_tbv1r1_ck505230,tbv1r1,505230,82.0,63.41463414634146,189.5,11.0,9.615384615384617,83.33333333333334,10.0,0.0,6.666666666666667,0.0
host_topbrain_v1_ck0_20260901_203431,topbrain_v1,0,98.0,1.0204081632653061,600.0,1.0,100.0,0.0,8.24742268041237,83.50515463917526,4.123711340206185,0.0
host_topbrain_v1_ck0_20260831_160901,topbrain_v1,0,98.0,2.0408163265306123,600.0,2.0,100.0,1.0416666666666665,0.0,87.5,1.0416666666666665,0.0
host_topbrain_v1_ck1251464_20260831_115629,topbrain_v1,1251464,98.0,35.714285714285715,600.0,8.0,17.142857142857142,46.03174603174603,15.873015873015872,9.523809523809524,25.396825396825395,0.0
host_topbrain_v1_ck253934_20260831_094716,topbrain_v1,253934,98.0,57.14285714285714,495.5,24.0,16.071428571428573,7.142857142857142,61.904761904761905,0.0,26.190476190476193,0.0
host_topbrain_v1_best_checkpoint_20260831_152449,topbrain_v1,best_checkpoint,98.0,59.183673469387756,511.0,21.0,27.586206896551722,0.0,60.0,2.5,25.0,0.0
host_topbrain_v1_ck1507175_20260831_041711,topbrain_v1,1507175,96.0,65.625,141.0,11.0,17.46031746031746,93.93939393939394,0.0,3.0303030303030303,3.0303030303030303,0.0
host_topbrain_v1_ck1507175_20260831_070513,topbrain_v1,1507175,98.0,68.36734693877551,146.5,10.0,25.37313432835821,90.32258064516128,3.225806451612903,3.225806451612903,3.225806451612903,0.0
host_topbrain_v1_ck1010053_20260831_112349,topbrain_v1,1010053,98.0,75.51020408163265,77.0,5.0,21.62162162162162,33.33333333333333,4.166666666666666,50.0,12.5,0.0
host_topbrain_v1_ck506469_20260831_105211,topbrain_v1,506469,98.0,76.53061224489795,69.0,6.0,10.666666666666668,26.08695652173913,0.0,0.0,52.17391304347826,0.0
host_topbrain_v1_ck756995_20260831_091525,topbrain_v1,756995,98.0,87.75510204081633,98.5,3.0,54.65116279069767,83.33333333333334,8.333333333333332,8.333333333333332,0.0,0.0
host_topbrain_v1_ck756995_20260831_081835,topbrain_v1,756995,97.0,90.72164948453609,94.0,4.0,46.590909090909086,88.88888888888889,11.11111111111111,0.0,0.0,0.0
host_topbrain_v2_ck1501133_20260908_015543,topbrain_v2,1501133,98.0,36.734693877551024,600.0,13.0,8.333333333333332,70.96774193548387,17.741935483870968,1.6129032258064515,9.67741935483871,0.0
host_topbrain_v2_ck1002078_20260907_214914,topbrain_v2,1002078,98.0,48.97959183673469,600.0,24.0,10.416666666666668,10.0,16.0,2.0,72.0,0.0
host_topbrain_v2_ck503474_20260907_193336,topbrain_v2,503474,98.0,51.02040816326531,571.0,34.0,0.0,85.41666666666666,0.0,0.0,14.583333333333334,0.0
host_topbrain_v2_ck1501133_20260907_110849,topbrain_v2,1501133,87.0,55.172413793103445,80.0,3.0,0.0,66.66666666666666,17.94871794871795,0.0,15.384615384615385,0.0
host_topbrain_v2_ck755233_20260907_053657,topbrain_v2,755233,98.0,58.16326530612245,116.0,6.0,3.508771929824561,92.6829268292683,2.4390243902439024,2.4390243902439024,2.4390243902439024,0.0
host_topbrain_v2_ck755233_20260907_205504,topbrain_v2,755233,98.0,60.204081632653065,87.5,5.0,3.389830508474576,82.05128205128204,10.256410256410255,0.0,7.6923076923076925,0.0
host_topbrain_v2_ck2001807_20260908_054146,topbrain_v2,2001807,98.0,62.244897959183675,304.0,16.0,22.950819672131146,29.72972972972973,27.027027027027028,5.405405405405405,37.83783783783784,0.0
host_topbrain_v2_ck1255725_20260908_000610,topbrain_v2,1255725,98.0,67.3469387755102,151.5,16.0,4.545454545454546,62.5,9.375,0.0,28.125,0.0
