id,primary,secondary,progress,convoluted,note
0,stopped-short,-,<1/3,n,devices barely inserted; short wire arc at base
1,clean,-,at-target,n,catheter along path to target; wire hidden under catheter
2,coil,catheter-ahead,at-target,y,catheter loop mid-path; red tip at target; wire behind
3,clean,-,at-target,n,neat; wire tip at target
4,coil,catheter-ahead,at-target,y,two catheter loops; red tip at target; wire tip mid-loop
5,clean,-,at-target,n,wire along path to target; catheter at base
6,stopped-short,-,<1/3,n,devices barely inserted; both tips at base
7,catheter-ahead,stopped-short,<1/3,n,short catheter at base; wire tip behind catheter tip
8,catheter-ahead,stopped-short,<1/3,n,short catheter at base; wire tip behind catheter tip
9,catheter-ahead,stopped-short,1/3-2/3,n,catheter advanced alone to mid-path; wire tip at base
10,coil,catheter-ahead,at-target,y,small catheter curl near top; wire tip at base
11,stopped-short,-,>2/3,n,neat; wire tip ~40mm below target; blue continues past target
12,coil,"catheter-ahead,stopped-short",1/3-2/3,y,huge catheter loops below path; wire tip in loop
13,coil,-,at-target,y,wire loop mid-path and wavy body; tip near target
14,stopped-short,catheter-ahead,<1/3,n,both tips at base; red marginally ahead of green
15,clean,-,at-target,n,neat; wire tip at target
16,clean,-,at-target,n,wire tip at target; slight curl at catheter tip
17,coil,"catheter-ahead,stopped-short",>2/3,y,multiple catheter loops at base; red tip 60mm short
18,clean,-,at-target,n,neat; tips at target
19,clean,-,at-target,n,neat; wire tip at target; wavy catheter body
20,clean,-,at-target,n,neat; wire tip at target
21,catheter-ahead,stopped-short,1/3-2/3,n,catheter alone to mid-path; wire tip at base
22,catheter-ahead,"wrong-branch,stopped-short",1/3-2/3,n,catheter runs parallel right of path; wire at base
23,stopped-short,-,<1/3,n,devices barely inserted; wire tip just ahead of catheter
24,clean,-,at-target,n,neat; wire tip at target
25,coil,stopped-short,1/3-2/3,y,catheter loop mid-body; hook at base; tip mid-path
26,clean,-,at-target,n,neat; wire tip curves to target
27,catheter-ahead,stopped-short,1/3-2/3,n,catheter alone to mid-path; wire tip at base
28,stopped-short,catheter-ahead,<1/3,n,devices barely inserted; red marginally ahead of green
29,coil,"catheter-ahead,stopped-short",1/3-2/3,y,multiple large catheter loops at base; red tip 70mm short
30,coil,"wrong-branch,stopped-short",1/3-2/3,y,wire knotted mass mid-path; tip off-path right of target
31,coil,catheter-ahead,at-target,y,dense catheter knot mid-path; red tip at target; wire at base
32,catheter-ahead,-,at-target,n,neat; red tip at target; wire tip ~20mm behind
33,coil,catheter-ahead,at-target,y,huge catheter loops below and mid-path; red tip at target
34,clean,-,at-target,n,neat; catheter reaches target; wire hidden
35,wrong-branch,"catheter-ahead,stopped-short",1/3-2/3,n,devices veer right off path into side vessel
36,coil,"wrong-branch,stopped-short",1/3-2/3,y,two catheter loops; catheter right of path; wire short
37,clean,-,at-target,n,neat; wire tip at target
38,clean,-,at-target,n,wire tip curves around to target; wavy catheter
39,stopped-short,-,1/3-2/3,n,wire advanced ~1/3 of path; catheter at base; neat
40,clean,-,at-target,n,neat; catheter reaches target; wire hidden
41,near-target,-,>2/3,n,wire tip ~20mm short of target; neat
42,clean,-,at-target,n,neat; tips at target
43,clean,-,at-target,n,wire tip curves left to target; neat
44,near-target,-,>2/3,n,tips just left of target; ~15mm off
45,clean,-,at-target,n,neat; wire tip at target
46,clean,wire-hook,at-target,n,small curl in wire below target; tip reaches target
47,near-target,catheter-ahead,>2/3,n,red tip curls left ~20mm from target; wire slightly behind
48,coil,catheter-ahead,at-target,y,catheter loop mid-path; red tip touches target; wire behind
49,coil,-,at-target,y,wire loops once below target; tip reaches target
50,catheter-ahead,stopped-short,1/3-2/3,n,catheter tip mid-path ahead of wire; neat
51,coil,-,at-target,y,catheter loop mid-path; tips together at target
52,catheter-ahead,stopped-short,>2/3,n,catheter tip 50mm short; wire tip retracted behind
53,coil,catheter-ahead,at-target,y,two catheter loops; red tip at target; wire tip in loop
54,stopped-short,catheter-ahead,<1/3,n,devices barely inserted; red marginally ahead of green
55,catheter-ahead,stopped-short,1/3-2/3,n,catheter ahead of wire; tip 50mm short of target
56,clean,-,at-target,n,neat; wire tip at target
57,wrong-branch,stopped-short,1/3-2/3,n,wire veers left off path into other vessel
58,clean,-,at-target,n,wire along path to target; catheter at base
59,clean,-,at-target,n,neat; wire tip at target; wavy catheter body
60,coil,catheter-ahead,at-target,y,catheter loop mid-path; red tip at target; wire behind
61,coil,catheter-ahead,at-target,y,catheter loop mid-path; red tip at target; wire slightly behind
62,clean,-,at-target,n,wire arcs over to target; neat
63,catheter-ahead,stopped-short,1/3-2/3,n,catheter alone to mid-path; wire tip at base
64,clean,-,at-target,n,catheter to target; wire hidden under catheter
65,clean,-,at-target,n,catheter to target; wavy body; wire hidden
