png,tag,pid,ep,old_cluster,new_cluster,n_match,success,steps,new_name
D:/neve/.claude/worktrees/rl_improv_16_resume/saved/eve_paper/neurovascular/full/mesh_ben/2026-07-22_194618_rcca_procedural_v3c2/diagnostics/snapshots/explore/RCCA\success\ep005_pid8159_step75_R+5.57_success.png,v3c2,8159,5,0,0,1,True,75,0:clean-success
D:/neve/.claude/worktrees/rl_improv_18_p2/saved/eve_paper/neurovascular/full/mesh_ben/2026-09-09_213120_rcca_carotid_v3/diagnostics/snapshots/explore/RCCA\success\ep016_pid13173_step81_R+6.07_success.png,car_v3,13173,16,0,0,1,True,81,0:clean-success
D:/neve/.claude/worktrees/rl_improv_18_p2/saved/eve_paper/neurovascular/full/mesh_ben/2026-09-05_195236_rcca_topbrain_v2/diagnostics/snapshots/explore/RCCA\success\ep177_pid464_step79_R+5.96_success.png,tb_v2,464,177,0,0,1,True,79,0:clean-success
D:/neve/.claude/worktrees/rl_improv_18_p2/saved/eve_paper/neurovascular/full/mesh_ben/2026-09-09_213120_rcca_carotid_v3/diagnostics/snapshots/explore/RCCA\success\ep002_pid4401_step93_R+6.11_success.png,car_v3,4401,2,0,0,1,True,93,0:clean-success
D:/neve/.claude/worktrees/rl_improv_16_resume/saved/eve_paper/neurovascular/full/mesh_ben/2026-07-25_000146_rcca_procedural_v3c3/diagnostics/snapshots/explore/RCCA\success\ep004_pid8665_step73_R+3.64_success.png,v3c3,8665,4,0,0,1,True,73,0:clean-success
D:/neve/.claude/worktrees/rl_improv_18_p2/saved/eve_paper/neurovascular/full/mesh_ben/2026-09-17_180209_rcca_carotid_v3_noprivactor/diagnostics/snapshots/explore/RCCA\success\ep065_pid7640_step98_R+5.89_success.png,car_nopriv,7640,65,0,0,1,True,98,0:clean-success
D:/neve/.claude/worktrees/rl_improv_18_p2/saved/eve_paper/neurovascular/full/mesh_ben/2026-09-17_180209_rcca_carotid_v3_noprivactor/diagnostics/snapshots/explore/RCCA\success\ep005_pid11638_step75_R+5.90_success.png,car_nopriv,11638,5,1,0,1,True,75,0:clean-success
D:/neve/.claude/worktrees/rl_improv_16_resume/saved/eve_paper/neurovascular/full/mesh_ben/2026-07-22_194618_rcca_procedural_v3c2/diagnostics/snapshots/explore/RCCA\success\ep027_pid9240_step47_R+4.86_success.png,v3c2,9240,27,1,1,1,True,47,1:clean-fast-success
D:/neve/.claude/worktrees/rl_improv_18_p2/saved/eve_paper/neurovascular/full/mesh_ben/2026-09-08_220413_rcca_carotid_v3/diagnostics/snapshots/explore/RCCA\success\ep003_pid2481_step128_R+5.69_success.png,car_v3a,2481,3,1,1,1,True,128,1:clean-fast-success
D:/neve/.claude/worktrees/rl_improv_18_p2/saved/eve_paper/neurovascular/full/mesh_ben/2026-09-08_220413_rcca_carotid_v3/diagnostics/snapshots/explore/RCCA\success\ep002_pid2008_step86_R+5.75_success.png,car_v3a,2008,2,1,1,1,True,86,1:clean-fast-success
D:/neve/.claude/worktrees/rl_improv_16_resume/saved/eve_paper/neurovascular/full/mesh_ben/2026-07-25_000146_rcca_procedural_v3c3/diagnostics/snapshots/explore/RCCA\success\ep009_pid1102_step86_R+4.32_success.png,v3c3,1102,9,1,1,1,True,86,1:clean-fast-success
D:/neve/.claude/worktrees/rl_improv_18_p2/saved/eve_paper/neurovascular/full/mesh_ben/2026-09-05_195236_rcca_topbrain_v2/diagnostics/snapshots/explore/RCCA\success\ep070_pid3436_step64_R+5.79_success.png,tb_v2,3436,70,1,1,1,True,64,1:clean-fast-success
