utc,update_step,explore_step,alpha,entropy_proxy,clamp_fraction,log_pi_std,log_pi_mean,q1_mean,q1_loss,policy_loss,grad_norm_policy,awac_weight_mean,awac_weight_max,awac_weight_saturation,target_q_mean,log_alpha,kl_to_warmstart,alpha_kl
07-12 02:25:20,1,0,0.9997000694274902,1.247014403343201,0.0,1.3659578561782837,-1.247014403343201,0.0013470211997628,0.0399351902306079,7.419629096984863,12.162972496508567,0.9999696016311646,1.0003918409347534,0.0,-0.0118786161765456,-0.0002999999560415,,
07-12 02:28:24,5000,0,0.2198439389467239,2.7302892208099365,0.0029296875,0.2837535738945007,-2.7302892208099365,-0.5831187963485718,0.004612797871232,0.8825002312660217,0.1950506018164575,1.000672459602356,1.1912434101104736,0.0,-0.582856297492981,-1.514837384223938,,
07-12 02:31:21,10000,0,0.0490856952965259,2.733602285385132,0.0048828125,0.3167857527732849,-2.733602285385132,-0.971566379070282,0.0010479983175173,0.6413305401802063,0.1687913279970701,1.00054669380188,1.169741153717041,0.0,-0.9734325408935548,-3.0141875743865967,,
07-12 03:04:18,15000,66916,0.0110592301934957,2.66234827041626,0.0048828125,0.4504993557929992,-2.66234827041626,-1.1368544101715088,0.0021358379162847,1.3087491989135742,0.2125297906293344,0.9981394410133362,1.092567801475525,0.0,-1.1486717462539673,-4.504489898681641,,
07-12 03:10:47,20000,76885,0.0024701270740479,2.651515483856201,0.015625,0.4596843421459198,-2.651515483856201,-1.267124056816101,0.0023901225067675,1.3034782409667969,0.2013471865198113,0.9991288185119628,1.1585251092910769,0.0,-1.2536755800247192,-6.003485679626465,,
07-12 03:17:33,25000,88878,0.0005519625265151,2.650520801544189,0.005859375,0.4984087347984314,-2.650520801544189,-1.2020343542099,0.0023053220938891,1.2131248712539673,0.1731873134082742,1.0019278526306152,1.2654935121536257,0.0,-1.2261247634887695,-7.502030372619629,,
07-12 03:24:07,30000,101761,0.0001233787334058,2.6281208992004395,0.0068359375,0.5566218495368958,-2.6281208992004395,-1.4182775020599363,0.0024665701203048,1.2564072608947754,0.196622757488701,1.0066921710968018,1.2783366441726685,0.0,-1.4118173122406006,-9.000251770019531,,
07-12 03:29:17,35000,115123,4.539993096841499e-05,2.604642629623413,0.009765625,0.5526090264320374,-2.604642629623413,-1.4225949048995972,0.002163732657209,0.937541663646698,0.142294497497803,1.0000851154327393,1.175234317779541,0.0,-1.4302188158035278,-10.0,,
07-12 03:32:55,40000,115256,4.539993096841499e-05,2.617046356201172,0.0087890625,0.6292527318000793,-2.617046356201172,-1.4344210624694824,0.0039284229278564,1.1725817918777466,0.3078325128871943,1.002979755401611,1.5118964910507202,0.0,-1.4167649745941162,-10.0,,
07-12 03:39:13,45000,125136,4.539993096841499e-05,2.619298458099365,0.0107421875,0.5619916915893555,-2.619298458099365,-1.4148612022399902,0.0037453928962349,1.194025993347168,0.3446475649250909,1.0054421424865725,1.228113055229187,0.0,-1.4334791898727417,-10.0,,
07-12 03:45:26,50000,135178,4.539993096841499e-05,2.580153465270996,0.0087890625,0.612530529499054,-2.580153465270996,-1.6578009128570557,0.0029198897536844,1.4978523254394531,0.4023054597811663,1.0047221183776855,1.2163165807724,0.0,-1.6752434968948364,-10.0,,
07-12 03:51:49,55000,148976,4.539993096841499e-05,2.571873188018799,0.015625,0.6585401892662048,-2.571873188018799,-1.579808473587036,0.0046246256679296,1.8696041107177732,0.5491310409811174,0.9973614811897278,1.1692311763763428,0.0,-1.598667860031128,-10.0,,
07-12 03:58:08,60000,160059,4.539993096841499e-05,2.490156412124634,0.01171875,0.8057963848114014,-2.490156412124634,-1.6816914081573486,0.0029671974480152,1.1267359256744385,0.3724848369989398,1.0004836320877075,1.2050610780715942,0.0,-1.670885682106018,-10.0,,
07-12 04:03:17,65000,170040,4.539993096841499e-05,2.5070643424987797,0.0087890625,0.7944308519363403,-2.5070643424987797,-1.7261444330215454,0.0020047258585691,0.8699702024459839,0.3665930893413382,0.999666392803192,1.2280970811843872,0.0,-1.7230080366134644,-10.0,,
07-12 04:08:15,70000,170710,4.539993096841499e-05,2.4736242294311523,0.0107421875,0.8729326128959656,-2.4736242294311523,-1.5672820806503296,0.003918481990695,1.9018847942352293,0.7211149435306202,1.0100460052490234,1.2654423713684082,0.0,-1.5533561706542969,-10.0,,
07-12 04:14:47,75000,181111,4.539993096841499e-05,2.461672782897949,0.0126953125,0.8508912920951843,-2.461672782897949,-1.7316663265228271,0.0041282847523689,1.579178810119629,0.7038372507285492,1.0006866455078125,1.153788924217224,0.0,-1.7179443836212158,-10.0,,
