seq	wall	pid	ep	final_branch	reason	is_clean	gsucc	ret	steps
1	1783823635.144881	312	1	RCCA	success	1	1	4.1960	252
2	1783823683.129800	540	1	RCCA	success	1	1	4.1494	376
3	1783823723.420374	236	1	RCCA	success	1	1	2.3486	520
4	1783823735.349491	274	1	bridge	max_steps	0	0	-4.4257	600
5	1783823738.870203	388	1	bridge	max_steps	0	0	-5.3517	600
6	1783823748.148645	426	1	bridge	max_steps	0	0	-3.8091	600
7	1783823762.045350	198	1	RCCA	max_steps	1	0	-3.0421	600
8	1783823768.004067	616	1	RCCA	max_steps	1	0	-5.3592	600
9	1783823778.325786	73	1	RCCA	max_steps	1	0	-2.4918	600
10	1783823778.749324	654	1	RVA	max_steps	0	0	-13.4736	600
11	1783823794.948078	160	1	RVA	max_steps	0	0	-3.0890	600
12	1783823795.118315	578	1	RVA	max_steps	0	0	-14.8481	600
13	1783823814.373570	122	1	RVA	max_steps	0	0	-15.3891	600
14	1783823814.863199	502	1	RVA	max_steps	0	0	-13.7311	600
15	1783823841.865470	464	1	RVA	max_steps	0	0	-14.4501	600
16	1783823851.721857	160	2	RCCA	success	1	1	4.2963	155
17	1783823854.142286	388	2	RCCA	success	1	1	3.7485	312
18	1783823855.801097	350	1	RVA	max_steps	0	0	-12.3870	600
19	1783823894.872957	312	2	RVA	max_steps	0	0	-3.8398	600
20	1783823896.179403	540	2	RVA	max_steps	0	0	-3.2562	600
21	1783823931.418324	122	2	RCCA	success	1	1	3.4570	343
22	1783823971.297851	160	3	RCCA	success	1	1	4.6602	288
23	1783823978.905997	426	2	RCCA	max_steps	1	0	-3.9997	600
24	1783823981.812606	236	2	RCCA	max_steps	1	0	-1.7806	600
25	1783823982.163563	274	2	RCCA	max_steps	1	0	-1.9910	600
26	1783823990.817883	616	2	RCCA	max_steps	1	0	-3.2112	600
27	1783824006.526949	198	2	RCCA	max_steps	1	0	-4.9218	600
28	1783824015.064353	73	2	RVA	max_steps	0	0	-6.9665	600
29	1783824032.844095	502	2	bridge	max_steps	0	0	-4.9132	600
30	1783824054.897454	578	2	RCCA	max_steps	1	0	-2.8118	600
31	1783824056.106431	274	3	RCCA	success	1	1	4.5528	190
32	1783824065.978702	654	2	RCCA	max_steps	1	0	-1.7134	600
33	1783824088.703769	464	2	RCCA	max_steps	1	0	-7.9879	600
34	1783824092.218312	388	3	RVA	max_steps	0	0	-11.0400	600
35	1783824096.985079	540	3	bridge	max_steps	0	0	-3.9430	600
36	1783824120.546859	350	2	RCCA	max_steps	1	0	-1.8467	600
37	1783824124.111536	312	3	RVA	max_steps	0	0	-8.6736	600
38	1783824147.061920	616	3	RCCA	success	1	1	3.7649	407
39	1783824169.017537	122	3	RCCA	max_steps	1	0	-2.3246	600
40	1783824188.906945	578	3	RCCA	success	1	1	3.7846	347
41	1783824216.276100	426	3	RVA	max_steps	0	0	-7.4458	600
42	1783824242.986575	236	3	RVA	max_steps	0	0	-9.4047	600
43	1783824244.566802	160	4	RCCA	max_steps	1	0	-1.1269	600
44	1783824254.902625	198	3	RCCA	max_steps	1	0	-2.1660	600
45	1783824262.707937	502	3	RVA	max_steps	0	0	-5.6007	600
46	1783824263.423290	73	3	bridge	max_steps	0	0	-6.5799	600
47	1783824284.884814	198	4	RCCA	success	1	1	4.5069	78
48	1783824315.026031	540	4	RCCA	max_steps	1	0	-3.0231	600
49	1783824315.305624	274	4	RCCA	max_steps	1	0	-1.7398	600
50	1783824329.843757	464	3	RCCA	max_steps	1	0	-2.6617	600
51	1783824331.926898	350	3	RCCA	max_steps	1	0	-3.5941	600
52	1783824332.137325	654	3	RVA	max_steps	0	0	-12.7209	600
53	1783824348.649417	388	4	RCCA	max_steps	1	0	-1.5801	600
54	1783824360.415586	312	4	bridge	max_steps	0	0	-3.5188	600
55	1783824402.951930	616	4	RCCA	max_steps	1	0	-2.0956	600
56	1783824413.362134	122	4	RCCA	max_steps	0	0	-6.7024	600
57	1783824417.697882	578	4	RCCA	max_steps	1	0	-2.3445	600
58	1783824431.667959	426	4	RCCA	success	1	1	4.3247	523
59	1783824476.607600	236	4	RVA	max_steps	0	0	-8.1095	600
60	1783824497.028359	160	5	RCCA	max_steps	1	0	-1.7949	600
61	1783824500.423045	502	4	RCCA	max_steps	1	0	-2.7745	600
62	1783824530.000159	122	5	RCCA	success	1	1	4.6707	277
63	1783824535.396368	73	4	other	max_steps	0	0	-11.4183	600
64	1783824544.884785	540	5	bridge	max_steps	0	0	-5.4910	600
65	1783824547.090210	274	5	RCCA	max_steps	1	0	-2.4373	600
66	1783824559.048345	198	5	RVA	max_steps	0	0	-17.5480	600
67	1783824577.100172	654	4	RVA	max_steps	0	0	-7.4404	600
68	1783824592.907424	388	5	RVA	max_steps	0	0	-9.4548	600
69	1783824594.993857	464	4	RCCA	max_steps	1	0	-1.7121	600
70	1783824596.422877	350	4	RVA	max_steps	0	0	-13.8033	600
71	1783824631.406567	578	5	bridge	max_steps	0	0	-4.2882	600
72	1783824646.008381	312	5	RVA	max_steps	0	0	-13.1769	600
73	1783824649.229028	616	5	RCCA	max_steps	0	0	-7.0584	600
74	1783824709.981354	426	5	RCCA	max_steps	0	0	-3.3663	600
75	1783824725.664683	236	5	RVA	max_steps	0	0	-5.8618	600
76	1783824758.353553	198	6	RCCA	max_steps	1	0	-4.0214	600
77	1783824763.889677	122	6	RCCA	max_steps	1	0	-2.3308	600
78	1783824764.036920	274	6	bridge	max_steps	0	0	-5.2613	600
79	1783824765.056428	160	6	RCCA	max_steps	1	0	-1.2686	600
80	1783824766.666836	502	5	RCCA	max_steps	0	0	-7.2188	600
81	1783824791.239845	654	5	RVA	max_steps	0	0	-5.2500	600
82	1783824791.924318	540	6	RCCA	max_steps	0	0	-2.8989	600
83	1783824794.080190	73	5	RVA	max_steps	0	0	-10.6124	600
84	1783824801.137567	350	5	RVA	max_steps	0	0	-5.7902	600
85	1783824830.547620	388	6	RCCA	max_steps	1	0	-1.9604	600
86	1783824844.139824	464	5	RCCA	max_steps	1	0	-1.5425	600
87	1783824883.707947	578	6	RCCA	max_steps	0	0	-3.3285	600
88	1783825043.415361	198	7	RCCA	max_steps	1	0	-1.4558	600
89	1783825043.415361	274	7	RCCA	max_steps	0	0	-2.3868	600
90	1783825043.415361	540	7	other	max_steps	0	0	-28.9355	600
91	1783825043.415361	73	6	RCCA	max_steps	1	0	-3.8618	600
92	1783825043.415361	122	7	RCCA	max_steps	1	0	-4.6238	600
93	1783825043.415361	160	7	RCCA	max_steps	0	0	-3.7505	600
94	1783825043.415361	350	6	RCCA	max_steps	1	0	-3.7731	600
95	1783825043.415361	426	6	RCCA	max_steps	1	0	-3.9395	600
96	1783825043.415361	616	6	RVA	max_steps	0	0	-11.9871	600
97	1783825043.415361	312	6	RCCA	max_steps	1	0	-1.3046	600
98	1783825043.415361	236	6	other	max_steps	0	0	-24.6934	600
99	1783825043.415361	388	7	RVA	max_steps	0	0	-4.3267	600
100	1783825043.415361	502	6	RCCA	max_steps	1	0	-1.8067	600
101	1783825043.415361	464	6	RCCA	max_steps	1	0	-2.6894	600
102	1783825043.415361	578	7	RCCA	max_steps	1	0	-1.9142	600
103	1783825043.415361	654	6	RCCA	max_steps	1	0	-2.0948	600
104	1783825293.374288	160	8	RCCA	success	1	1	2.8291	515
105	1783825320.971661	122	8	other	max_steps	0	0	-8.1395	600
106	1783825336.934284	388	8	bridge	max_steps	0	0	-4.3277	600
107	1783825352.896420	502	7	RCCA	max_steps	0	0	-4.1836	600
108	1783825358.621457	312	7	RCCA	max_steps	1	0	-2.5199	600
109	1783825358.728070	616	7	RVA	max_steps	0	0	-7.7593	600
110	1783825359.165005	464	7	RVA	max_steps	0	0	-4.5785	600
111	1783825359.266418	274	8	RCCA	success	1	1	5.0119	533
112	1783825364.832196	73	7	RCCA	max_steps	1	0	-3.7453	600
113	1783825373.951500	578	8	RVA	max_steps	0	0	-11.2202	600
114	1783825376.502244	540	8	RVA	max_steps	0	0	-7.3307	600
115	1783825379.423998	236	7	RCCA	max_steps	0	0	-6.5764	600
116	1783825380.539995	426	7	bridge	max_steps	0	0	-2.3202	600
117	1783825389.721895	198	8	RCCA	max_steps	1	0	-0.9736	600
118	1783825393.102401	350	7	bridge	max_steps	0	0	-7.6355	600
119	1783825501.636777	464	8	RCCA	success	1	1	3.3592	328
120	1783825530.894515	654	7	RVA	max_steps	0	0	-13.5551	600
121	1783825577.955926	198	9	RCCA	success	1	1	4.4694	340
122	1783825617.490268	122	9	RVA	max_steps	0	0	-6.9669	600
123	1783825619.586863	160	9	RCCA	max_steps	0	0	-3.7102	600
124	1783825640.003736	388	9	RCCA	max_steps	1	0	-2.9710	600
125	1783825651.852774	426	8	bridge	max_steps	0	0	-5.9182	600
126	1783825659.189199	578	9	bridge	max_steps	0	0	-7.1401	600
127	1783825666.432805	274	9	bridge	max_steps	0	0	-4.0598	600
128	1783825670.069238	73	8	RCCA	max_steps	1	0	-4.3493	600
129	1783825682.954135	616	8	RCCA	max_steps	0	0	-10.8437	600
130	1783825684.549610	236	8	RCCA	max_steps	1	0	-3.0762	600
